id,gen,matron_id,sire_id,birthdate,genes,name
281000,4,253961,253953,2017-12-13 01:13:24,ddda 8576 af2f 111g 1144 8878 fcc9 4542 7454 4622 a9gg dcae,
281001,7,252473,174419,2017-12-13 01:13:24,cacm 5686 74ff bbba 6461 5585 e77c bb21 7887 4644 affp fcda,
281002,8,191182,212660,2017-12-13 01:13:24,dcc9 6788 aa2a afba 1416 7555 ecf7 2b21 7886 2226 dcfc cece,
281003,5,275151,224367,2017-12-13 01:13:24,99ma 8887 aa7a 4b1f 6dd6 7757 7eem 4624 678k 4378 fdag fffc,
281004,6,237388,236730,2017-12-13 01:13:24,cmc9 7885 2274 9ffg dd46 3877 99fa 57j5 6478 8244 fffa dded,
281005,5,280513,276406,2017-12-13 01:13:24,cda9 7658 7f2a 9bb1 6161 5815 7dd7 16b4 6444 3432 fdgp ceda,
281006,3,248528,248580,2017-12-13 01:13:24,accc 7677 4ff2 gggb 1ddd 575k dcc9 764b 8447 4233 9ffg ecdf,
281007,14,270482,278979,2017-12-13 01:13:24,999a 5767 22a7 abpb 4166 5837 efm7 44hj kk7k 2268 9fac aedd,
281008,9,254526,280383,2017-12-13 01:13:24,9add 7757 ff24 94bg 6141 3755 ad9d 7466 k686 87i3 c9fa abfa,
281009,6,267400,232164,2017-12-13 01:13:24,9cad 7565 77ff 1ffb d1d4 8877 cdn7 2474 5477 2376 fafg daae,
281010,17,276312,249101,2017-12-13 01:13:24,99aa 6777 2447 ggga 6114 5757 e7df 4267 6887 2388 fgdf faac,
281011,3,216171,213906,2017-12-13 01:13:24,9c99 578k 4272 abg4 44d4 5875 dbc9 5552 7477 2828 dadg fded,
281012,8,256591,138128,2017-12-13 01:13:24,caaa 5677 a777 4aag 1d61 3758 bcb7 4411 774k 782k gafa cdda,
281013,9,201370,200347,2017-12-13 01:13:43,d9da 8565 a7f7 agaa d446 7k58 d9cm 4h62 6646 7686 cagf daaa,
281014,4,257339,253974,2017-12-13 01:13:43,adcd 5775 74fa 9abg 11d6 8585 f9a9 2665 7546 3663 99ga daaa,
281015,11,93959,263810,2017-12-13 01:13:43,cac9 8555 72ff bgaa 6466 5755 d99d 7122 8766 4786 9fff fdaf,
281016,5,99781,149965,2017-12-13 01:13:53,cdcd 756k af7f 1ffm 1464 5555 aeee 4646 48k8 3322 af9g adfc,
281017,5,257782,257753,2017-12-13 01:14:02,adda 8875 fff4 9bgg 1414 7757 eb7d 62h6 8666 4444 fgff fdfd,
281018,15,207568,37922,2017-12-13 01:14:02,acd9 566k 2742 bbab 1666 5858 cbe9 27h1 5587 3834 ggga faad,
281019,1,110391,32478,2017-12-13 01:14:02,aadc 6565 4ff7 bf1b 1444 5557 9ddb 1717 6777 7722 9aaa efef,
281020,13,191780,167757,2017-12-13 01:14:02,cd9d 586k 2afa 9f1f 6144 7577 fbfs 277b 7486 7647 fgff cdec,
281021,23,165934,194581,2017-12-13 01:14:02,ccaa 776j 4ff2 abgf 1661 5538 9e99 b727 6k5k 7647 gagd faoc,
281022,9,277646,280473,2017-12-13 01:14:02,aama 66j5 2772 1fbb 1664 8877 d7e7 264b 8846 8422 9ffd dfff,
281023,16,267407,267826,2017-12-13 01:14:18,9cda 6j86 2244 9gga 1144 5877 bb7c 671j 8474 6282 agfg dban,
281024,12,229302,275994,2017-12-13 01:14:18,9d9m 7855 727f fa44 1416 3538 dfac 47b5 776k 3282 facg fafd,
281025,6,237053,171367,2017-12-13 01:14:18,d9ad 6675 2aaf g1ba 1441 5555 aebf 721b 5678 2822 ggcf addb,
281026,20,266104,251067,2017-12-13 01:14:23,9cmc 6557 4227 b4gb 4446 3555 7b9e 252b 4847 3838 dgad eacc,
281027,6,269696,238777,2017-12-13 01:14:23,dc99 6j85 277f bffg d161 7758 7fdf 4b45 7788 2634 afgf ffea,
281028,6,278317,278045,2017-12-13 01:14:23,dca9 6885 a74a abgg 4666 57k7 97a7 4666 4646 6488 fgd9 aafo,
281029,4,260437,261143,2017-12-13 01:14:55,ddcd 5857 4f2f bf4g 6464 5757 f779 5755 4744 2732 dfag ffdd,
281030,4,255320,222028,2017-12-13 01:14:55,9ccc 5566 f447 fff4 6d66 577k faec 6727 6846 6728 dcfc eada,
281031,20,130848,115184,2017-12-13 01:14:55,c999 8877 427a faff 1446 7755 cb79 b4b7 8766 4868 a99p ffeo,
281032,3,257150,255841,2017-12-13 01:14:55,dadc 5587 7f27 9b4f d6dd 8578 7f9f 2225 5776 3667 9dad dbac,
281033,7,280390,280343,2017-12-13 01:14:55,9ada 5766 4a2a fg11 1441 5777 d7ac 4211 6644 2388 faaa fcea,
281034,3,257457,269788,2017-12-13 01:15:02,c9c9 866j 2a24 9bbp 4446 7378 b77e 6616 777k 488i gaaa beee,
281035,12,93049,132924,2017-12-13 01:15:26,d9d9 6766 4ff2 fabf 4414 5757 7co9 6424 8575 6637 paff ccef,
281036,13,128206,42088,2017-12-13 01:15:26,ac9a 7658 fa24 fapg 6114 5858 9deb 2h47 8678 666i ggag ddea,
281037,8,114178,279002,2017-12-13 01:15:26,9adc 578k 7772 a9ba 4d11 5735 bdff 126h 4777 384i ccgc ffea,
281038,5,266711,258256,2017-12-13 01:15:26,caad 6875 a247 bgbb 6614 8575 f779 6675 4874 4426 fffa dfob,
281039,19,25031,149244,2017-12-13 01:15:26,9ddm 667k 777a fmfp 6146 7557 bfcf 71bh 8666 3434 9m9a ecba,
281040,18,4263,224464,2017-12-13 01:15:26,accc 55k6 77f4 gagg 6616 5755 9foe 7261 8887 477i faff ffdf,
281041,5,259191,256102,2017-12-13 01:15:26,acc9 6586 7a47 b144 164d 8557 ac9c 4b65 5448 8764 afaf faba,
281042,1,1131,2417,2017-12-13 01:15:26,aaa9 688j 2242 gafg 4111 7575 c7ed 72bb 7778 8883 agfa cdfe,
281043,4,270993,227823,2017-12-13 01:15:26,9cd9 6857 2472 bbfa 41d6 75k5 c7ea 2115 6774 4228 adac cdfa,
281044,6,260028,262316,2017-12-13 01:15:26,9dc9 7867 244a 4bbb 1d1d 8553 cf7s 2b12 7788 8246 gaac ffde,
281045,9,280780,280768,2017-12-13 01:15:54,ddcc 656k a224 b4fb 1646 8553 f9mf 5142 8767 4374 d9ag aeda,
281046,20,84588,203753,2017-12-13 01:16:04,aacc 8765 4f74 aabm 6466 7575 9e9f b221 87kk 788i gf9a ccfd,
281047,7,148322,137039,2017-12-13 01:16:04,cddc 6677 27f4 g9fa 1111 7577 77o7 7bb2 788k 6388 aagd efoo,
281048,14,6979,203592,2017-12-13 01:16:04,ca99 7786 f4a2 f9fg 4164 7775 ee9f 4b42 5576 843i 99gp efca,
281049,19,256227,174322,2017-12-13 01:16:04,99dm 6767 2a2a fafg 4614 777k feea 7777 7676 7866 facd dcdd,
281050,10,237444,174354,2017-12-13 01:16:04,ccda 8567 ff47 4f91 1664 77k5 b9sd 6162 7486 7866 aagd fcef,
281051,5,260329,274715,2017-12-13 01:16:04,cadc 88k7 444a aba1 6446 7815 dab7 1662 7856 6483 afga dffe,
281052,9,220719,175547,2017-12-13 01:16:04,cca9 7566 277a 1gbp 4166 5k77 9ffo 1bj5 4764 2833 ddgf debc,
281053,15,152985,272807,2017-12-13 01:16:04,dmmc j557 47a4 b99b 6616 7787 bd7f 67b2 7686 8678 gggp aeaa,
281054,12,272711,246216,2017-12-13 01:16:29,caca 577j 77a4 9apf 6646 7585 ed7b 114b 8765 2863 daac fdcc,
281055,12,15903,185891,2017-12-13 01:16:29,cac9 8687 4aaa 99bp 1164 5775 d97d 2b24 8878 6334 a9pf cefe,
281056,6,277042,260777,2017-12-13 01:16:29,99a9 8557 f77f 11g1 6141 7355 79db 1155 4774 6676 9dpg aaff,
281057,10,280005,279258,2017-12-13 01:16:37,c9dd 6587 f2f2 9gga 111d 7857 bae9 6626 6774 6368 aagp fbdc,
281058,4,257550,207761,2017-12-13 01:16:37,9cdc 5857 2244 aafg 4141 8737 dcce bb54 4747 3838 daag facc,
281059,5,163725,269666,2017-12-13 01:16:37,cdca 7567 4a4f f9ff 6611 7858 9d7e 4716 5478 4722 caaf cecd,
281060,6,277690,135676,2017-12-13 01:16:37,aa9a 5676 2f24 gf9p 1466 5578 dfb7 7722 5666 4878 aa9d fdof,
281061,16,170465,197424,2017-12-13 01:16:37,ccdd 7775 7f74 9bab 4461 8583 cb7e 4164 7856 6882 aga9 eabd,
281062,22,19535,66361,2017-12-13 01:17:09,cccc 77j7 f74f ggag 4461 5557 fe7f 2442 7758 6777 d9af fced,
281063,15,256100,256262,2017-12-13 01:17:09,aaac 6758 4f4a 94mg 6111 8883 ffdn 266b 7884 6832 ddfg bdoa,
281064,11,115065,219552,2017-12-13 01:17:09,cc9a 5667 2aa2 1baa 4464 3778 cffo 426b kk87 8642 9fmm cacd,
