id,gen,matron_id,sire_id,birthdate,genes,name
231000,14,78908,42981,2017-12-11 02:11:39,c9a9 7588 2a4a gffg 4666 8755 997e 772b 78k6 4327 dfga fbee,
231001,6,225584,226685,2017-12-11 02:11:39,dmca 6656 27a2 9aaa 1641 57k5 a77e 2b14 8686 3833 9gdp acae,
231002,16,142480,195431,2017-12-11 02:11:39,c9ad 7575 7ffa 9gmp 1661 7557 7eoc 4224 87k6 6748 aafm dboe,
231003,8,229817,218628,2017-12-11 02:11:39,9cad 8557 f22a ag14 4666 7553 9ffc 77j4 6478 4766 aagg cdca,
231004,9,215813,219294,2017-12-11 02:11:39,cdca 768k 444a aba9 4116 5575 fa9d 2664 8767 2274 dgac doec,
231005,10,229377,229949,2017-12-11 02:11:39,cdda 5587 4f74 91f1 414d 7555 9dd7 265h 878k 4282 dgdp efdf,
231006,11,122092,215958,2017-12-11 02:11:49,d9aa 6655 a477 a9ap 6446 7778 dafd 71bb 7687 668i gggg dfad,
231007,14,227348,171712,2017-12-11 02:11:49,99cc 6888 277f g9aa 1611 773k 7e97 b114 6687 8333 faga cdcc,
231008,12,207984,208311,2017-12-11 02:11:49,a9ac 5568 f242 9pgf 6411 587k dbfb 2677 8868 3283 agdd edoo,
231009,3,229619,230601,2017-12-11 02:11:49,c9dc 5755 277a 41ba 4414 7785 aad7 62bb 7746 2284 9fdf dcee,
231010,3,221174,222505,2017-12-11 02:11:49,daad 5558 afff 4bf4 dd4d 3377 9aae 55b7 6874 2634 9fpf fcfe,
231011,3,228210,203047,2017-12-11 02:11:49,a9cd 7777 ffa7 ag1b 6461 5777 ee77 1212 5844 6882 9fga feda,
231012,5,159709,213206,2017-12-11 02:12:07,acdd 6555 47aa f91g 4644 3577 ee99 2766 8648 4488 cfcg adfc,
231013,7,208826,225767,2017-12-11 02:12:07,acmc 6658 afaf afga 6644 7558 9d9f 566b 8864 8442 cggf fcce,
231014,7,196968,219692,2017-12-11 02:12:07,da9c 6876 2472 fbba 6146 5755 aee9 6744 7787 8622 dgag aafc,
