id,gen,matron_id,sire_id,birthdate,genes,name
299000,6,291997,284825,2017-12-14 02:09:35,cc99 6755 7a77 9f19 1161 7775 9999 b254 7665 8788 a9fp cafa,
299001,1,211495,261726,2017-12-14 02:09:40,a9c9 6688 f422 4ag4 6d41 8575 f9b7 5641 5844 2426 99af gdgg,
299002,21,82067,171969,2017-12-14 02:09:40,aaad 6885 fa47 9g9f 4641 5775 be97 77b6 6k87 6844 g9gf ecce,
299003,20,176639,193863,2017-12-14 02:09:40,cacc 6577 447f ggff 6414 7777 7def 2bh1 7875 2477 faam ffco,
299004,13,242646,258252,2017-12-14 02:09:55,aad9 786k ff2f 4444 6d61 8855 cdcb 242j 68k4 7844 a9fa cccd,
299005,12,297723,247954,2017-12-14 02:09:55,aca9 85j5 244f bffg 1644 553k b7de 1144 776k 6687 9ffa cccc,
299006,5,297874,294079,2017-12-14 02:09:55,99dc 7775 4f47 gfgf 1868 5757 eeee 555j 7486 7384 afap dfgf,
299007,7,298547,281992,2017-12-14 02:10:01,ddca 8657 f7fa g4pa 6144 5775 9e7e bb16 7787 7446 9f9d feee,
299008,4,249912,249125,2017-12-14 02:10:01,dac9 87j5 242a 41ff 61d4 775k febb 7617 4887 7632 gffg bfcd,
299009,14,290562,158850,2017-12-14 02:10:01,9ddm 567j 7422 gf19 14d1 75k5 b7co b751 7477 8428 acaa ecba,
299010,11,298397,298180,2017-12-14 02:10:01,a9dd 565k af2f bbg9 1666 1855 acce 4b12 4847 3474 gfgc dcag,
299011,10,232685,278618,2017-12-14 02:10:01,a9mm 6885 774f gbbb 4446 7757 ddcm 62b6 7k4k 4842 fadp fdcb,
299012,7,110942,163288,2017-12-14 02:10:01,9ada 6765 7aa4 9g9a 1441 8875 d9fb b44h 5866 6784 agaa eddo,
299013,3,112993,121636,2017-12-14 02:10:01,a9cd 6555 24aa gbga 4146 7575 fcef b22b 6666 6367 daga ccac,
299014,9,224501,189466,2017-12-14 02:10:15,addd 8758 7f7a fafg 4666 3877 effs 211b 4888 2666 999f accd,
299015,14,241469,224571,2017-12-14 02:10:15,cc9d 5565 ff22 affb 4416 5873 daff 67b4 6787 7628 d99g dcce,
299016,8,284753,263784,2017-12-14 02:10:15,9dc9 8686 7422 f49b 1146 7575 fdfc 6527 8464 8624 gagg afcd,
299017,8,297817,297505,2017-12-14 02:10:15,aadc 8778 ffa2 aaab 4414 8881 dd9e 66bb 8846 2882 gddd caad,
299018,6,283670,235423,2017-12-14 02:10:15,dccc 5668 f47a 4af4 4114 7777 9bof 7b67 4484 6484 9c9f fdfb,
