id,gen,matron_id,sire_id,birthdate,genes,name
242000,14,238369,238724,2017-12-11 12:24:51,cdc9 6568 277f ab1f 6661 5755 cdfe 4454 7887 4228 9dag deda,
242001,15,236725,241075,2017-12-11 12:24:51,9c9a 585j 7744 bbga 16dd 5587 fbc7 2257 4467 8242 add9 fcad,
242002,8,199734,47451,2017-12-11 12:24:51,aaac 7687 24f2 a9ab 4664 5358 97ef b7b1 8886 366i aggf ccod,
242003,6,217825,205102,2017-12-11 12:25:11,dcda 755k f222 b1ap 6646 8575 cfc7 7174 4656 2868 gffa ffao,
242004,7,213837,239781,2017-12-11 12:25:11,ddc9 7858 fa27 p4g1 4641 57kk b77f 1464 8865 2623 cfag cfcb,
242005,5,136632,44621,2017-12-11 12:25:11,ddc9 87j5 afff 9bbg 1616 7355 df77 7772 7667 4887 g9gf cfad,
242006,3,137221,50621,2017-12-11 12:25:46,d99d 6665 2f7f 19bb 4111 8555 99de 2bb7 6774 338i 9aag fcfa,
242007,4,236413,240816,2017-12-11 12:25:46,daa9 8787 7474 1bg4 6dd1 7555 fbde 4622 4467 4286 gdaa dfef,
242008,3,98907,82887,2017-12-11 12:25:57,a9aa 8588 4727 9a1p 6614 7855 9def 462b 6887 2832 gagg dddd,
242009,7,173112,170199,2017-12-11 12:25:57,dd9c k555 2444 afff 1641 7878 ddee 412b 8877 4322 fagf eaed,
242010,24,241707,86748,2017-12-11 12:25:57,cda9 5877 72a4 gbpf 4416 5378 7e7d 1662 6786 4884 99da caee,
242011,21,23917,116232,2017-12-11 12:25:57,9c9a 8657 447a ff9g 1411 5775 eddd 2422 876k 6486 gaaa ccad,
242012,19,213936,73072,2017-12-11 12:25:57,c9dc 68jk 7244 gg11 6116 7575 d9cf 76b4 6868 346i gdgp odcc,
242013,10,100473,91044,2017-12-11 12:26:08,ddc9 757k 2724 fbaa 1161 5775 dcbd 144b 6778 7734 9fga accc,
242014,7,153450,175439,2017-12-11 12:26:08,9dmd 7785 7a47 bfaf 1664 7758 ce79 4227 8776 3267 gfgg ddcc,
242015,6,222586,186645,2017-12-11 12:26:14,adda 7686 fafa 9gaa 6146 7778 dfeo 46b6 6578 7463 9faa aaae,
242016,6,196866,210320,2017-12-11 12:26:14,a9da 658k 2242 4afg 1111 7377 ff7f 7777 7668 3468 ffgp ceea,
242017,4,158429,164091,2017-12-11 12:26:18,a9aa 8558 727a a1ga d166 8785 d7f9 265b 8784 8648 cccc fdfa,
242018,3,100660,160830,2017-12-11 12:26:18,ccac 8656 fa44 111a 4114 5787 adbf 747h 5846 7828 aaga cedf,
242019,11,217097,238124,2017-12-11 12:26:18,cc9c 866k 742a pffg 1664 7377 efe9 4b41 8777 3433 adfa ebfd,
242020,10,240320,200521,2017-12-11 12:26:28,c99c 5875 f2a4 1gpg 6144 3375 f7f9 7261 888k 7436 99ga bedc,
242021,5,176900,196210,2017-12-11 12:26:28,a9dm 6778 aa22 1f1b 4666 7735 a99a 4264 677k 6832 ggff edao,
242022,7,231284,165015,2017-12-11 12:26:28,9acc 5678 aaa4 1fbg 6411 3557 fcfb 2147 667k 3663 ggfm adoo,
242023,9,218896,241113,2017-12-11 12:26:28,d9dd 77j8 444f af4b 1116 8757 afdo 42h6 7684 4236 dfaf fddd,
242024,5,64873,127673,2017-12-11 12:26:28,aadc 5877 4f7a 9bbb 4114 8877 be77 7476 6478 3848 afa9 aedd,
242025,4,241250,240347,2017-12-11 12:26:28,aacm 8878 2aaf gb44 1dd1 5555 ddbc 5265 7474 3746 fdgd fcaa,
242026,19,174032,226320,2017-12-11 12:26:28,cd9c 7656 42f2 gbbg 1164 7575 d9de 7b24 6868 664k g9d9 defc,
242027,3,224180,203535,2017-12-11 12:26:28,c9a9 85k6 4a74 f1gf 6116 5557 77ce 6525 8844 3342 af9g faad,
242028,4,232927,66150,2017-12-11 12:26:28,9d9d 7555 aa47 911f 1611 3885 9dbf 2762 878k 8786 gapa dcfe,
242029,7,236198,235995,2017-12-11 12:26:28,c99d 5757 747f abp9 4116 3785 ee9d 4646 74kk 2683 aaff caad,
242030,17,146457,198969,2017-12-11 12:26:33,aada 75j5 f24f gaba 6161 5388 ed7f 1667 8888 7664 dgga dced,
242031,6,155545,226722,2017-12-11 12:26:33,d9c9 5868 f272 agbf 4441 5587 7bee 2h65 k666 2822 9g9a eace,
242032,6,237929,230161,2017-12-11 12:26:33,dddc 7678 afaa b1g1 1446 5757 ebes 641b 8666 3673 fffp eaaf,
242033,7,218143,62551,2017-12-11 12:26:33,cama 876k af74 b99p 1661 7755 9ff7 66b7 6878 2386 gfgf fedf,
242034,15,241657,85263,2017-12-11 12:26:33,caaa 6586 a7a4 fg9m 6164 8535 ee7e 7447 8867 8647 gf9c faco,
242035,19,203484,233661,2017-12-11 12:26:46,ad9a 6855 afa7 99bb 4666 5775 de7a 2b72 8757 3428 gf9a edao,
242036,4,207714,204284,2017-12-11 12:26:46,a9aa 575j 4a24 g4ap 6446 5535 fecf 1b65 6784 7467 dapf dcdc,
