id,gen,matron_id,sire_id,birthdate,genes,name
261000,4,260516,203872,2017-12-12 04:33:34,adac 5587 7afa gbbg 4161 5887 fb9n 2b62 878j 3646 ffpa aafc,
261001,6,216196,189107,2017-12-12 04:33:34,daa9 6567 f444 f9f9 4664 8575 9e7f 1666 6467 286k d9fg ebcf,
261002,4,239010,234931,2017-12-12 04:33:34,aadd 5857 2777 4ggf 1111 8575 c9bd 65b4 677k 3282 aafa ecea,
261003,13,234699,240612,2017-12-12 04:33:40,cdc9 7578 7a24 bagg 4616 7575 fbe9 bb27 7877 6344 dgaa dcaf,
261004,3,156411,144300,2017-12-12 04:33:40,daca 8788 ffa7 b1b1 6646 7377 ca9c 1677 8548 2774 fgff eaea,
261005,6,260243,260174,2017-12-12 04:33:40,dacd 8575 2aaf abbf 6161 5575 f99b 1b11 848k 7246 g9p9 aeea,
261007,19,91025,142630,2017-12-12 04:34:21,cdaa 5557 2247 gggg 1666 7575 c9fo 2bb2 5877 4223 fpag ccod,
261008,6,228712,234201,2017-12-12 04:34:21,9cac 8578 7224 gagg 4644 5387 be7e 4244 7867 2888 9fgd ffae,
261009,10,158693,236984,2017-12-12 04:34:21,99aa 7667 7727 fgfa 4466 5787 7b9f 71b4 7885 7i63 g9gg ddca,
261010,1,245845,2251,2017-12-12 04:34:21,99cc 8758 4f2f 9gbg 6116 7877 ec7f b5b2 6448 3676 ff9g fdea,
261011,4,257007,175838,2017-12-12 04:34:21,cddd 6855 4a47 9fba 4411 8587 cc7e 14b2 6678 7874 dgaa cacd,
261012,12,259382,126175,2017-12-12 04:34:30,9cac 67j8 a7a4 gpa4 6644 778k de9f 47h2 4687 7762 ggag cdac,
261013,9,259344,259593,2017-12-12 04:34:30,aa9a 865k 7a22 gafa 6644 8575 f997 46b6 5776 6486 addc afaa,
261014,5,260773,253204,2017-12-12 04:34:30,9a9m 85j6 f424 a9gf 4644 5575 9b7m 4422 8788 33i2 9gfd decf,
261015,3,105549,153515,2017-12-12 04:34:30,9aaa 77j5 47fa bggb 1664 7585 7d9d 77b2 4448 6844 fgfd cbca,
261016,9,230061,246700,2017-12-12 04:34:30,9daa 6788 72a7 11pb 14d6 7858 eedd 26j4 685k 443k f9aa ffoa,
261017,6,250703,176743,2017-12-12 04:34:30,a99d 5675 a274 apga 46d6 7557 bdnd 44b6 8644 8837 dgap eaaf,
261018,7,260034,260084,2017-12-12 04:34:30,ac99 866j 7a74 fffg 4111 7575 ff99 4427 6k76 7867 9aaf dfdf,
261019,6,167306,257941,2017-12-12 04:34:30,aaca 8868 7aa4 gbgg 6664 5585 eec9 162b 7868 2444 d9af eeef,
261020,14,180119,208091,2017-12-12 04:34:49,d9da 7876 447f afbb 1661 7737 ebfe 142h 74k7 6748 9ffd odad,
261021,5,259058,258965,2017-12-12 04:34:49,9ac9 6785 a244 bfb1 4161 755k ce7e 55b5 7878 8428 agga fefc,
261022,4,238628,236238,2017-12-12 04:34:49,cc9c 7556 2fa7 g4aa 4d66 7857 adfa 7445 4788 726i fgd9 effa,
261023,6,233984,235788,2017-12-12 04:34:49,d9md 8866 f474 ba1b 6111 3835 bf7e 77j2 78k8 4632 dadd daac,
261024,4,231366,258338,2017-12-12 04:34:49,cccc 7768 2fa7 a1ab 46d4 588k 77ca 2441 6888 4334 a9fg ddfa,
261025,6,186751,121146,2017-12-12 04:35:05,acc9 7856 4af7 b14f 4166 8758 edbe 7126 7477 3348 addp dbfo,
261026,12,258848,259429,2017-12-12 04:35:05,cadd 7757 2af4 fffb 1611 5733 bcbc 171b 77k8 7882 gga9 deea,
261027,10,225071,239445,2017-12-12 04:35:05,ccc9 5j55 fa77 f9aa 1664 7757 cffd b661 8677 8483 gadg adca,
261028,7,219144,166849,2017-12-12 04:35:05,ca9d 7575 7f72 g41a 4644 5758 dadf 622j 8887 3822 afga bfca,
261029,8,174578,256448,2017-12-12 04:35:05,addc 7k58 a4a4 g4gg 4161 8777 9ae7 464j 7747 8422 fgfg cdaa,
261030,5,248818,221466,2017-12-12 04:35:11,c9ca 6585 2772 bgma 4666 5875 fade 44b4 5444 7282 aacg dcea,
261031,16,224741,245423,2017-12-12 04:35:11,9acc 66j7 4444 gafb 1666 7558 fd7f 1421 4764 7372 gd99 ffcf,
261032,13,251835,180228,2017-12-12 04:35:11,ccca 8686 4f42 ff44 4464 7735 9eb7 b25j 6677 3482 gdaa bece,
261033,5,234726,233589,2017-12-12 04:35:11,ad9d 87j8 f7a7 a141 6614 5588 ff7f 11b2 4864 8863 agaf daea,
261034,13,106830,172106,2017-12-12 04:35:51,ccad 5585 2aa2 gaga 4144 8583 9f7f b47h 6885 8867 da9m fecd,
261035,16,95827,214057,2017-12-12 04:35:51,9ddd 8657 44ff bgab 6161 7757 ffcb b726 6646 6343 9fgf faaf,
261036,4,175030,254931,2017-12-12 04:35:51,9d9d 7868 a2fa 9agb d641 7385 979d 26b1 4477 6724 ffga dffe,
261037,7,260416,207160,2017-12-12 04:35:51,cdd9 5556 4a2a 9fba 6114 5877 debs 6667 8k84 7248 9d9c cafn,
261038,3,238406,202461,2017-12-12 04:35:51,ac9d 8857 aff4 g94a 1dd4 7378 fc77 b541 8744 2862 ggff fdfa,
261039,6,232842,217759,2017-12-12 04:35:51,ccad 866j 2724 gb1m 1414 8778 c9b7 2467 864k 6688 dddd fbff,
261040,4,159505,172867,2017-12-12 04:35:51,aaca 6755 aafa a1gg 1144 5557 fafd 1bbb 64k4 8762 fafa fdca,
261041,6,163219,257866,2017-12-12 04:35:56,ca9d 6557 7a44 gfap 4111 7557 f99f 6516 6646 23i7 dfpm fcdc,
261042,6,194944,227930,2017-12-12 04:35:56,d99d 6666 f2a7 fgab 1141 5887 9ded 4474 4468 3888 dadg efdf,
261043,3,115086,89990,2017-12-12 04:35:56,adac 6578 742a gaaa 6661 5787 ec9d b47b 8778 4744 99fc caff,
261044,6,212009,223537,2017-12-12 04:35:56,d9cd 8685 7a2a 9fmf 4661 8837 c79b 24b4 4848 3377 dfpf dcdd,
261045,9,189999,143503,2017-12-12 04:35:56,a9ac 7688 fffa 9bbf 4116 7555 77cd 4767 78kk 2364 ffaa ffaf,
261046,6,255028,255692,2017-12-12 04:35:56,addd 8578 a222 4g44 4466 788k cb9m 4775 7877 3677 gdfa aeca,
