id,gen,matron_id,sire_id,birthdate,genes,name
342000,21,96271,172384,2017-12-16 17:55:50,c99d 6786 fa22 faff 1666 7875 79be 4767 57kk 4747 dagg cefa,
342001,7,337083,260582,2017-12-16 17:55:50,a9a9 7688 727a aagm 11d4 8777 e7bb 4b62 8486 8686 ggfa fcff,
342002,6,272603,335196,2017-12-16 17:55:58,ccd9 5585 f7ff abbg 1411 3578 97fb 6b6h 578j 8268 fgfg caed,
342003,6,308422,126201,2017-12-16 17:55:58,9cmc 658j 7774 914f 4141 7377 d7aa 5646 464k 2823 adad faac,
342004,6,340646,274342,2017-12-16 17:55:58,adad 565k 27f2 441a 6d86 1855 aeco 55b1 764k 3743 fcd9 edcd,
342005,7,333286,288183,2017-12-16 17:55:58,9cad 87k5 2faa bfp4 1441 1127 b7e7 11b1 7468 3383 dafa eece,
342006,6,340638,297506,2017-12-16 17:55:58,cccc 5667 4a7a agaa 8618 7575 beef b5b5 4844 2468 gama eagc,
342007,22,253065,319077,2017-12-16 17:56:28,a9ac 6577 24a2 gfg9 1641 8k75 d9ec 4146 4667 33ii fgaa dece,
342008,5,331094,334616,2017-12-16 17:56:28,da9c 867k 4424 9agb 8886 7872 bba9 b4bb 6484 8743 abbg gfeg,
342009,14,282096,339143,2017-12-16 17:56:28,acad 8686 77a2 gff4 d16d 5775 9fdd 7277 5466 6678 ffpg eaae,
342010,3,132831,309535,2017-12-16 17:56:28,ddcd 6685 42aa a1fg 4416 3583 997c b676 6676 2878 dd9g deag,
342011,9,264619,170811,2017-12-16 17:57:05,ddac 6587 4f42 bbpa 1664 3838 aa9d 1221 546k 4266 aadf cade,
342012,8,339570,339305,2017-12-16 17:57:05,ddc9 k687 44ff 91fb d644 3877 dccb bb6h 6784 6i64 ff9f agaf,
342013,12,341560,317756,2017-12-16 17:57:05,9cac 8767 aff4 a1fg 661d 83k7 dbdb 4216 6767 2722 g9cd ddod,
342014,15,275947,290966,2017-12-16 17:57:05,9dc9 8677 4772 bggb 1611 7573 e7d9 24b7 8868 3k6k dcfc dafd,
342015,10,291444,341312,2017-12-16 17:57:20,cccd 5578 242a aafp 11d1 3187 f977 476b 4484 6826 fagb gdee,
342016,10,332113,214463,2017-12-16 17:57:55,damd 75k8 a47a 9bb1 6114 3775 bebd 7565 7786 4232 g9af ggdc,
342017,8,338658,338699,2017-12-16 17:57:55,aaad 7575 f747 fggb 4d6d 7551 a7bf 7621 6884 2734 dacm cbca,
342018,8,341347,341278,2017-12-16 17:57:55,cada 8758 2f4f 44gg 1884 5877 fbf7 5b26 6845 7336 gfba gafg,
342019,11,261998,37884,2017-12-16 17:58:31,cc9a 7766 a444 1aag 1464 5773 7ddo 5755 55k6 6676 agfa cfno,
342020,8,340357,341050,2017-12-16 17:58:31,a9dd 877k 42f2 agg9 44dd 7585 e7ad 2625 87k4 2384 amfd ecaa,
342021,3,318405,277949,2017-12-16 17:58:59,99da 855k 44f7 bbbg 41d6 3878 9dc7 5116 8786 6768 d9dd bffe,
342022,5,255862,330171,2017-12-16 17:58:59,dadm 6556 a227 ggfb 4444 5537 eefd b4b4 64k4 6688 gag9 cdoc,
342023,9,335843,333481,2017-12-16 17:58:59,9acc 8578 4422 bfa1 6164 7855 fed9 51bb 88k4 2322 99pg dcad,
342024,11,330722,304380,2017-12-16 17:59:16,9d9a 7856 ff42 aaba 664d 5755 ec7c 4216 6887 6642 gfdf fffa,
342025,6,179067,320308,2017-12-16 17:59:27,daaa 7775 2777 9gfg 1466 7855 cd7e b2b2 7568 3444 adpa acad,
342026,15,337699,336266,2017-12-16 17:59:27,acd9 558j 4777 g49g 1444 7353 afee 4226 6767 4742 a9f9 gcdd,
342027,6,325000,318030,2017-12-16 17:59:27,99da 768k 2f72 b44a 6d4d 7577 9ef7 6545 4474 2248 d9fp aadd,
342028,7,339134,340414,2017-12-16 17:59:27,999a 5556 2ff4 9914 614d 1857 ddcf 15b4 5474 6436 ccan coge,
342029,7,75961,123168,2017-12-16 17:59:36,ddcd 5785 7f42 9ggb 1141 5855 d77d 2226 84j6 4423 d9ac aede,
342030,6,69869,331805,2017-12-16 17:59:36,9a9a 5767 f422 fpb1 1446 7757 c9d7 26h5 78kk 6836 9gab ddbe,
342031,7,337952,336078,2017-12-16 18:00:01,cca9 7757 a7a2 11bg 6488 7173 e9de 5b5b 7476 3467 99ng ceae,
342032,9,331843,340041,2017-12-16 18:00:26,cc9a 666j 72ff b4f9 d164 3555 e9en 6114 4654 7227 ggfp fcfa,
342033,6,331923,228185,2017-12-16 18:00:26,dd99 8787 f4a4 44bf 8168 2782 9f7f 2711 7657 8286 g9ba eedf,
342034,13,300125,224632,2017-12-16 18:00:26,cddm 6578 4224 babb 6611 5758 abe9 2771 7877 7872 fddf eacf,
342035,2,336232,257362,2017-12-16 18:00:26,c9da 8886 aa27 49af d6d1 711k ddba 4527 5474 8662 9ffa gaea,
342036,6,331590,334139,2017-12-16 18:00:26,cdda 755j f42f 91aa 488d 8121 a77d 2765 6846 8867 dfbb ggfp,
342037,4,316549,341912,2017-12-16 18:00:34,dcac 6688 a2f4 4afa d188 1517 e9ee 727h 6768 2462 ggap gegp,
342038,11,252231,183732,2017-12-16 18:00:34,c99d 65k5 74a7 ba4b 1641 8758 dc9e 5261 8888 4272 am9a effa,
342039,15,339002,293479,2017-12-16 18:00:34,d9dd 667j 7f24 bffa 6146 8777 d777 2b4b 5776 6876 dfg9 ccff,
342040,6,316149,328151,2017-12-16 18:00:34,dac9 6657 24f4 14gf 616d 1115 cbeb b514 7444 4228 gf9g bdte,
342041,6,341868,192143,2017-12-16 18:01:07,dc9a 8755 2a7a a4bb 8161 5835 7c7f 7752 4478 8746 abnc cdga,
342042,4,264510,165772,2017-12-16 18:01:41,cacd 8675 fa2f 1faf 68d1 5757 f7ec 547j 8684 7427 gcdc ffdf,
342043,21,228989,82233,2017-12-16 18:01:41,aadm 8677 4f2f 1g9b 6146 8857 bfco 72b4 7787 7232 aaaf cceo,
342044,12,334315,183102,2017-12-16 18:01:54,acda 5666 a472 aa9f 1146 8855 c7cf 5151 4k77 4248 dagf afdc,
342045,7,340633,258776,2017-12-16 18:01:54,c9c9 8687 7447 gbfg d441 7755 dfb9 471b 8j88 7677 gamn aedf,
342046,6,311437,320460,2017-12-16 18:01:54,9d9a 6567 2a2f 4g9a 4d44 778k ec9d 5775 7878 4378 affa edbg,
342047,9,318461,327062,2017-12-16 18:01:54,ad9c 6j55 2a4a ab44 1141 7578 7bed 4b2b 7488 6224 9aaa dcpp,
342048,2,243296,155353,2017-12-16 18:02:25,d99a 6775 277a afaa d646 8775 7979 154h 6477 8438 fgfg cdfa,
342049,2,286515,273643,2017-12-16 18:02:25,ddd9 8866 aaa7 f1f9 6188 3515 cf9f b655 4468 6723 9dfa gegg,
342050,9,338701,340120,2017-12-16 18:02:25,daa9 6787 74a4 9abp dd86 5h3k 77bf 261j 7478 6874 dagd eafp,
342051,3,327966,332089,2017-12-16 18:02:25,addd 5856 2f4f 4f1g 6841 3587 fdde 5b21 8864 7772 a9ff aggp,
342052,7,327369,331433,2017-12-16 18:02:25,ccca 576j 44f7 1ggf 6141 77k5 e7ee 6674 84kj 8737 aac9 cdcd,
342053,10,341591,341116,2017-12-16 18:02:25,9ddc 65k6 f74a a411 6644 5527 fb7d 777b 4784 7674 dfdm faaa,
342054,2,222973,340630,2017-12-16 18:02:25,9adc 6876 ff74 fbff 486d 8585 efd9 7646 6774 8732 ddga aeag,
342056,5,317058,319250,2017-12-16 18:02:41,ccdc 6656 27f4 4f4g 8486 7575 9797 1475 4744 223k dgg9 gfog,
342057,10,340045,340063,2017-12-16 18:02:41,c9cd 7758 2fa7 44bp ddd8 5775 cfeb 5b72 8847 4828 gadd afae,
342058,5,333410,322045,2017-12-16 18:02:41,a9cd 6875 f2aa b1bm 8488 3551 ea99 5765 6767 3678 ddap dbga,
342059,4,119120,234331,2017-12-16 18:03:15,9ccd 8687 f4a4 bb9b 41d1 7757 acc7 7b47 6847 8428 9afd fbao,
342060,11,250206,341977,2017-12-16 18:03:15,9m9d 7656 fa4f ggg4 6161 8775 eeb9 1677 8677 3783 ggaa foea,
342061,9,282984,138796,2017-12-16 18:03:21,d99m 7758 2fa7 ab4a 4461 7773 fafb 4bh1 5657 8464 daag aefa,
342062,5,318584,318598,2017-12-16 18:03:21,a9cc 7776 72fa 1199 4464 7557 dbc7 62b1 7478 7232 f9pa edfa,
342063,3,333205,328033,2017-12-16 18:03:21,accd 557k 2a27 bb4g 4648 723k b99f b626 7868 7228 dfdg eggc,
342064,2,311623,320268,2017-12-16 18:03:21,ddcd 75j6 aaf7 44b4 4481 7377 777f b421 8786 4663 aff9 dgdd,
342065,16,22827,267093,2017-12-16 18:03:33,9a9d 57k8 f247 gbab 6114 3775 fe79 2114 7867 7473 gpga abfc,
342066,2,50657,49082,2017-12-16 18:03:33,daac 678j 7f4f g9mf 4146 7557 b7fo 4444 5875 3478 cccc feae,
342067,3,333451,337618,2017-12-16 18:03:43,ccda 7657 fa27 4fga dd8d 817h ca97 2151 7476 3378 ddbd begg,
342068,1,2418,2145,2017-12-16 18:03:53,9ac9 6657 4aaa gaff 4666 5755 ce7e 2712 578k 6884 f9fg cfff,
342069,5,324655,320077,2017-12-16 18:03:53,999c 8868 27f2 1g1a 4641 7373 edef 42b6 47k8 6282 dgag aadd,
342070,9,335499,332253,2017-12-16 18:03:53,cccd 876j a2a2 bbga 1114 7375 cb77 762h 84k7 2788 dgca eaee,
342071,7,319064,324448,2017-12-16 18:04:25,999a 7757 2f7f 44f1 dd14 5575 9o9c 5625 6677 8226 adaa eaag,
342072,12,336065,322490,2017-12-16 18:04:25,daac 8578 aaa4 bg9f 6168 3755 effd 6h77 4657 3423 gg9d fgff,
342073,8,337294,339033,2017-12-16 18:04:32,a99c 6555 7a22 441g 1d6d 85k7 efef 1544 6486 4722 ccab faga,
342074,3,320350,318874,2017-12-16 18:04:35,a9dd 5667 4aa4 b4b4 8846 1515 7aee 6565 4648 6243 ggag ggeg,
342075,2,232378,151575,2017-12-16 18:04:35,c9dc 6856 faf2 g1ag 4411 7857 ddd9 6246 6788 2436 d9gp adfd,
342076,13,213165,187793,2017-12-16 18:04:49,9cc9 675k affa b9fp 6466 7377 ed97 7b71 67k8 7424 ggdp eaef,
342077,5,307007,262107,2017-12-16 18:04:49,dadc 5577 4f22 bpba 4166 7757 d99b 4716 4488 7242 dgga dffo,
342078,5,341889,1106,2017-12-16 18:04:49,c9da 7866 4a4f ffag 416d 8587 c9ca 7221 8767 7834 aggg cefe,
342079,6,187743,143644,2017-12-16 18:05:38,c9a9 86j6 472a 9g1p 1641 5735 9c7b 42bb 6786 8262 gcgg ebaa,
342080,18,210405,51506,2017-12-16 18:05:47,9caa 5867 727f a1ga 4114 5735 d9b7 4726 688k 348i dpdg fcco,
342081,9,221285,187892,2017-12-16 18:05:47,99cc 7765 4aa7 9bbb 1611 5575 cfbb 6612 7776 4334 9fgf bece,
342082,19,323323,272527,2017-12-16 18:05:47,9c99 776j f247 babg 1646 7585 7cce 2647 454j 8684 dgfd faaa,
342083,13,90229,221135,2017-12-16 18:06:06,a99c 7567 222f gffg 6664 5355 fffb 612h 576k 6k37 g9fa ffdf,
342084,9,244316,320377,2017-12-16 18:06:06,dc9d 5658 fa2a bbbp d416 7733 c9de 6546 7876 7636 fafg cdea,
342085,10,327515,295592,2017-12-16 18:06:06,99dm 6787 244a bg99 1146 5757 ccff b22h 7778 2484 9fdg cead,
342086,8,333266,334843,2017-12-16 18:06:14,dcda 6557 7a24 gg1b 4141 3387 7bbf b664 k487 4642 adgp ddde,
342087,6,280516,273801,2017-12-16 18:06:14,d99c 8755 aaa7 bg49 d6dd 7575 efea b765 8448 8738 agfg ddda,
342088,9,327079,332337,2017-12-16 18:06:19,ca9d 855k aa2a 4199 d1d6 7385 7fbb 214h 4684 233i pddd eddf,
342089,6,236349,161704,2017-12-16 18:06:19,cd99 5567 44a7 af9p 6664 8753 ca79 15bj 6878 4447 99fg ffea,
342090,13,333362,320251,2017-12-16 18:06:31,addc 685k f4a7 b91f 6616 8758 bbcb 22hb 5566 6683 gaad edfa,
342091,11,333533,296328,2017-12-16 18:07:00,ddda 8jkk ff7a gga9 6416 7738 7e9a 1457 k487 626i ggfg fegp,
342092,8,88527,204109,2017-12-16 18:07:00,c9ca 668j 774a paa9 6416 7555 d7e7 4216 5776 4488 ffaa feof,
342093,6,166442,338651,2017-12-16 18:07:00,dddd 6875 a7fa abbf d616 78h2 b7dc 7644 5778 7366 daba epba,
342094,15,326058,310827,2017-12-16 18:07:00,99aa 578k 224a gb9m 464d 35k7 9noe 127h 8667 4866 faa9 ebda,
342095,12,206584,290095,2017-12-16 18:07:00,ddad 5586 44af gfgb 146d 5755 deef 4647 7678 2864 agag fcbo,
342096,24,180708,19846,2017-12-16 18:07:00,a99a 7577 4422 afaa 1446 7875 df9f 4224 8k68 4363 gg9g cfod,
342097,21,317235,327342,2017-12-16 18:07:00,cmca 8555 24aa a41g 1461 3555 de9d b125 8648 4437 f9fm bdde,
342098,15,13390,337634,2017-12-16 18:07:00,a9c9 8776 7224 1f4p 8886 7271 d99e b757 7874 6473 9b9d eedf,
342099,9,47329,300263,2017-12-16 18:07:00,cdcd 8555 2f42 g9ga 6146 8577 7ffb 5bb6 7777 8668 f9cf cbda,
342100,10,335787,124195,2017-12-16 18:07:00,ccm9 7686 7ff2 ffg9 1d14 8757 7c77 2271 4k56 336i 9dag fcco,
342101,6,330107,330061,2017-12-16 18:07:00,cccc 7666 44aa agba dddd 8773 f7em 7752 6444 2287 ggap fgff,
342102,6,338426,254693,2017-12-16 18:07:00,c9cm 58j6 a7af gaab 8446 8557 bee7 475h 4445 3663 gd9f gdbo,
342103,5,277848,279610,2017-12-16 18:07:06,cacc 76j6 7a74 bap4 d664 3755 ab77 5471 4448 4888 agpd decc,
342104,4,238379,233707,2017-12-16 18:07:06,9ddc 66j6 fa72 1a1g d6d1 338k 97ad 6672 7767 2268 adfg aead,
342105,6,156646,159776,2017-12-16 18:07:14,a9dd 6678 244a 1b19 6616 8587 edfb 126h 6867 3686 dpfa afbn,
342106,13,337571,139226,2017-12-16 18:07:39,ccdd 8775 fafa gfgb 6116 8773 e9fe 4474 8675 4824 dfda dacf,
342107,12,341825,159096,2017-12-16 18:07:39,9c9a 786j 2472 1abf 6416 7377 dce9 2hh1 468k 8448 fa9g eafc,
342108,6,337097,332762,2017-12-16 18:07:39,9add 8688 ff27 aga1 d11d 8537 9ede 61b2 4688 8722 faad efaf,
342109,14,340913,340972,2017-12-16 18:07:49,acad 5885 2f47 bbff 6466 7753 cedo 5bbj 6878 4832 afdd cfac,
342110,11,306523,23230,2017-12-16 18:07:49,cdad 6k88 f27a fbbg 4664 7557 c99f 2522 7577 7263 adgm fdca,
342111,5,315592,295491,2017-12-16 18:08:01,accc 6778 2227 f44b d81d 8773 79ff 6b5j 7447 8336 9ggf efda,
342112,10,341820,340989,2017-12-16 18:08:01,999d 67r5 f22f 1a1a 1441 7777 7f9e 5bb6 6886 8682 adba eaaa,
342113,5,339419,341745,2017-12-16 18:08:14,c9cd 6755 f222 94fb 8111 7887 da7f 6576 7847 376k daga eoeg,
342114,7,335481,223953,2017-12-16 18:08:14,cdc9 5676 4227 1fff 4618 8357 f9ef 71b4 8667 2822 fggb gadf,
342115,7,69207,342030,2017-12-16 18:08:14,9aca 8788 747a 9pa1 4441 7775 9ff7 2445 75k8 3834 9gb9 ecfe,
342116,9,207565,175671,2017-12-16 18:08:14,cacc 7585 2f44 991b 4161 8785 fd7m 6b62 4448 2282 aapc fdff,
342117,3,319785,336595,2017-12-16 18:08:14,cdcd 5775 2724 44af 884d 7572 ba79 1517 5747 7683 d9ag gdeg,
342118,13,340659,276712,2017-12-16 18:08:49,9cc9 6885 ff2a afb4 6141 8858 df9o 2222 867k 326i dfdd ccad,
342119,7,79600,181393,2017-12-16 18:08:49,9aad 6758 7f22 bafa 4111 535k debb 6422 8878 7278 daa9 ccfo,
342120,8,293301,288499,2017-12-16 18:08:49,c9cm 8jj8 27a2 9191 4411 75k5 7aff 767h 6744 4428 a9fc fddd,
342121,9,335841,186693,2017-12-16 18:09:00,cc9d 5685 2a24 gbab 44d4 7881 7cdo 4444 8487 2222 fgca gafg,
342122,13,278418,269226,2017-12-16 18:09:00,9a9d 5787 faf2 bbfp 1661 3755 999c 4412 5788 2428 adgf afac,
342123,4,19603,168721,2017-12-16 18:09:00,dad9 6878 f44f bagp 6661 7757 cc7c 1211 86kk 3368 ffff daaa,
342124,4,338885,331551,2017-12-16 18:09:04,9ddd 6578 7227 4gab 8661 1352 d9c7 54bh 6477 4272 adaa dggg,
342125,5,335125,290828,2017-12-16 18:09:04,9a99 8567 2fff 194g 1686 7777 a79s 1522 8476 7636 gaac afaa,
342126,5,342037,322217,2017-12-16 18:09:04,adca 7868 2a7f 4afa 8d84 1777 dfee 7255 6748 2242 d9pp egpp,
342127,5,341867,331616,2017-12-16 18:09:04,9add 8876 7a27 4g44 d68d 1122 9dde 1254 4674 4448 d9bb egee,
342128,14,255391,328103,2017-12-16 18:09:24,c9ad 8685 a22a pbbg 1611 7787 99b7 24h7 4866 4462 ga9p cdaf,
342129,13,337996,339103,2017-12-16 18:09:24,cccc k7k7 fa2a af4m 1d4d 5875 ccfb 165h 78k6 2678 gcag cdoc,
342130,2,271564,284364,2017-12-16 18:09:24,cacm 8767 42a4 bgaa 6d14 535k bce7 1621 7747 6223 af9a bdcf,
342131,13,328316,328111,2017-12-16 18:09:24,daad 6657 777f aggp 6111 5757 997f 477b 868r 8774 9ggd agcn,
342132,5,332931,330204,2017-12-16 18:09:24,9cdc 6576 f77f a414 dd6d 5518 f997 176j 648k 6674 adfa fggg,
342133,22,275605,275430,2017-12-16 18:09:30,mdmd 6568 aa22 fafm 1644 5775 7edc 76h6 87k6 48i3 gdaa baef,
342134,7,269145,303350,2017-12-16 18:09:35,cadd 5656 f2fa a4f1 61d1 5177 e979 245b 4774 8662 agmd afcg,
342135,8,186711,336564,2017-12-16 18:09:45,dd9c 75kj 47f4 ga1m 6d44 1388 9777 b644 4654 6276 aacb efaf,
342136,18,324933,266599,2017-12-16 18:09:45,c9cc 7556 ffa4 bf9f 66d1 7578 b79d b71b 8687 3677 aa9p cefd,
342137,11,339992,205256,2017-12-16 18:09:45,accc 5k76 724f 94pb 446d 1112 9emf 17b5 6464 7288 dad9 edef,
342138,6,341484,341055,2017-12-16 18:09:54,aada 6675 4722 aa4a 6111 7358 9cdf 6116 67k6 6674 9fgd ccaa,
342139,6,340451,336109,2017-12-16 18:09:54,ddad 7786 44ff 1141 81dd 5112 cecc 7725 4846 2448 9add abag,
342140,8,341744,328962,2017-12-16 18:09:54,9dad 6777 4272 gaaa 488d 8818 9cce 5712 4677 2864 gggd fbdb,
342141,2,329342,263372,2017-12-16 18:10:00,ac99 6668 2aa7 a9bg 41d1 7512 97df 112b 4777 8346 fggb ceed,
342142,17,319278,163223,2017-12-16 18:10:00,9dam 657k f7a4 4f9f 4166 5575 779f 14b4 7657 3673 gffp daff,
342143,6,218647,336003,2017-12-16 18:10:55,dc9a 5566 a4a4 gb4b 8616 1713 ddd7 62bb 8774 4622 a9fm beca,
342144,4,267463,235285,2017-12-16 18:10:55,dadc 8567 444a a4g4 d646 753k 7bdf 5417 6474 3222 aafa fbfa,
342145,6,342069,339857,2017-12-16 18:10:55,9999 5868 7a24 1abf 6644 7773 b9fe 4b62 566k 2482 9ffa adao,
342146,15,72161,309645,2017-12-16 18:10:55,9m9d 6776 2274 b4ag 1644 7853 7fof 4744 8j7k 7387 gdgf eefc,
342147,2,315625,284228,2017-12-16 18:11:16,9cdd 6656 77a2 4f44 4446 8537 b977 55jb 4487 3646 gfag caae,
342148,9,324889,340761,2017-12-16 18:11:16,cc9d 6856 2f24 b4am 1618 7181 7dmb b566 8k78 2423 papp fdpa,
342149,6,341791,318035,2017-12-16 18:11:16,cc99 5856 4772 aaaf 161d 5555 7ddc 65b4 6447 8747 adgf gdaa,
342150,7,233067,234208,2017-12-16 18:11:29,ddcd 5687 74fa faf4 6464 3775 de9f 474j 4887 767k gaaa dcac,
342151,1,292332,267332,2017-12-16 18:12:14,ccad 6778 f2af bfff 8ddd 1115 cf9d 5552 4564 2638 daga bggd,
342152,10,308978,263847,2017-12-16 18:12:14,cac9 866j 7fff 1fbb 6811 8857 df9e bb42 k76r 8337 gpdd cceg,
342153,11,338330,262419,2017-12-16 18:12:14,ddad 7j56 4444 fg99 64d1 5555 eebd bb1h 7478 2872 9adc ebno,
342154,2,234317,180454,2017-12-16 18:12:20,99cd 5855 a27a gbgb dd1d 8377 aacb 7624 7784 8247 ffgg aaff,
