id,gen,matron_id,sire_id,birthdate,genes,name
421000,20,156542,21897,2017-12-28 07:00:45,amcm 556j a447 aaa9 4461 7557 ff7f 16bb 6576 6447 affp efdd,
421001,2,410821,100392,2017-12-28 07:01:03,9ddc 8675 4a4a abba 1146 2815 ca7d 74b1 4784 4372 fbga eebc,
421002,20,219547,273180,2017-12-28 07:01:03,9ccc 5768 f77f 9aab 6666 7787 d779 2441 5687 6736 afap cfec,
421003,17,144453,391456,2017-12-28 07:01:03,d9d9 8755 ff7a f9fp 1164 8875 n999 6746 4876 3388 ggaf adao,
421004,3,401371,418934,2017-12-28 07:01:03,ddc9 678k 7fff 4bfb 4d4d 8872 ee9b f65b 333k 8728 gggg ggee,
421005,1,418322,417109,2017-12-28 07:01:31,9ada 7865 f777 14af 1d38 1312 7fe9 7552 3638 7448 9aab ggeg,
421006,1,418213,417857,2017-12-28 07:01:31,dadd 7685 2224 aabb 8661 7312 cbe9 7125 376k 2862 dbba dggg,
421007,113,390714,420880,2017-12-28 07:01:42,99dc 575j 2724 ggf9 44dd 5718 de7a 6224 4843 4478 ddgc aaap,
421008,8,314525,420902,2017-12-28 07:01:42,ac9a 6768 24a2 aaf4 4666 735h d7oc 7722 5747 3824 aaab fagd,
421009,3,416480,106058,2017-12-28 07:02:04,9ac9 8688 a2aa 9gg4 8164 2752 9cb7 77b2 6788 6438 99fg gcff,
421010,11,405120,419888,2017-12-28 07:03:09,d9dd 5558 a4aa 49bb 681d 1125 efbf 5bbf 843i 3632 bgsg fcgf,
421011,5,380609,408129,2017-12-28 07:03:09,c9ad 5865 fa2a a1ba 8884 2222 9fm9 bb1j 5334 6683 9dbb egeg,
421012,2,415307,401736,2017-12-28 07:03:09,dcd9 8768 2427 9bbb 1814 2757 f97f 72fb 6774 4332 fgdb bgao,
421013,4,387734,401593,2017-12-28 07:03:09,cada 586j 72af f4a4 6486 8235 7b9e 5657 8848 6788 fbnb ggfc,
421014,3,417963,420943,2017-12-28 07:04:31,acdc 5288 242a bbfa 338d 8855 beff 755j 6367 4686 ddba gggg,
421015,12,415782,420812,2017-12-28 07:04:31,9caa 868r 4a24 4bgm 8661 8332 bedf 5212 44k4 6266 ddf9 cgdo,
421016,4,419799,420188,2017-12-28 07:04:31,c999 7555 faa4 ga44 1841 5355 cfce 1464 3644 6883 9dag gfce,
421017,4,336970,413396,2017-12-28 07:04:31,ddc9 8658 442f 9ggf 184d 5771 ecf9 6117 6866 2276 adbf afed,
421018,8,383067,420930,2017-12-28 07:04:31,9a9d 6556 aa42 gfab d166 7577 7bed 521h 844k 2844 amgg cdca,
421019,11,420183,415974,2017-12-28 07:04:50,9dcd 678k 747f 4a4a 6811 7551 9fnb ff1f 4546 8372 gggb eete,
421020,8,104870,198321,2017-12-28 07:04:56,ccca 5766 4772 g9b9 1166 7877 dff7 77b4 568k 878i aafa efed,
421021,3,416108,416102,2017-12-28 07:05:13,ccdd 5555 7222 fb9a dd88 2131 fccb 5fff 7777 2288 baaa dgeg,
421022,5,391862,391675,2017-12-28 07:05:13,aaca 5575 7477 1a4f d114 5817 d7ee 765b 3784 2348 dgbc gfde,
421023,6,420044,417015,2017-12-28 07:05:51,a9ac 8k88 f244 94ga 664d 5735 7f7f bb66 6864 7633 ag9b fcad,
421024,9,420884,420606,2017-12-28 07:05:51,cc9c 7768 a7af afgb 8111 788k fc77 2bbh 887k 3824 abac fegf,
421025,13,417765,420194,2017-12-28 07:06:21,ad9d 7577 2af4 4bbb 4d8d 1577 c9es 2557 4764 7233 bbbg gedo,
421026,9,149866,406236,2017-12-28 07:07:09,ca9d 5757 ff24 gmfa 6611 755k bdef 72bb 3838 6867 aban fdce,
421027,15,388690,417180,2017-12-28 07:07:14,d9am 8685 2a42 fgam 1161 1822 c77o b567 8788 8464 fggb dgee,
421028,1,414464,413171,2017-12-28 07:07:14,acac 657k f4a2 a4bb d484 5757 de9f 2161 3388 8476 gdgg gedg,
421029,5,420211,415439,2017-12-28 07:07:35,cac9 5565 7aa4 g4ag 1814 57k5 c7cf 2466 6867 6784 gbda cdee,
421030,7,416535,411512,2017-12-28 07:07:39,c9da 868k 44f2 4a49 4481 2157 7e9o 1612 7687 2322 dda9 efdd,
421031,5,394188,226452,2017-12-28 07:07:39,cd9d 66k8 afaa a4ff dddd 7875 7ded 12bh 7477 8477 dagg gedd,
421032,5,420964,419050,2017-12-28 07:08:28,cddc 5867 4722 9aab 4ddd 7757 bf9d 75bb 787k 2888 faba gede,
421033,1,408302,404005,2017-12-28 07:08:58,9aac 5856 7724 441b 1688 1232 ebfe b567 7373 2863 badb dgeg,
421034,1,407404,407032,2017-12-28 07:09:02,9aad 5877 f42a aff4 8644 2352 9f7d b5b1 3376 4776 aagd gede,
421035,1,417384,416814,2017-12-28 07:09:41,9add 7572 2724 f4ff 83dd 3212 c799 bb7b 6867 7236 dbbb geed,
421036,13,420071,420243,2017-12-28 07:09:45,aacd 86k7 4247 faaf d148 888k 9dbc 654f 336i 63ki afa9 edea,
421037,12,416220,256514,2017-12-28 07:09:52,ccda 8775 a42a gf1m 1d44 5185 ebdf 746j 6588 7883 afbd fdbn,
421038,3,30077,308122,2017-12-28 07:10:09,dddd 7755 f427 94ab d6d6 3385 7dbd 546b 6874 84k2 f9gf aaed,
421039,5,409984,415732,2017-12-28 07:10:09,9cc9 6856 aaa2 4f4f 184d 8855 b7dc bf67 34k6 7827 a9a9 ddde,
421040,7,414144,362167,2017-12-28 07:10:09,aacc 8786 27af bf4g 8dd6 7583 d97m 6115 7k84 6382 adga ggfn,
421041,5,416985,414472,2017-12-28 07:10:09,ada9 7876 4774 b4aa 818d 1718 ddb9 5f12 3673 8833 9bgg fcgg,
421042,5,420947,414573,2017-12-28 07:10:09,cdc9 6657 77f7 4ff4 8414 2252 7ccb f2fb 366k 6788 bgcg gadd,
421043,11,413801,272596,2017-12-28 07:12:05,dc9d 6k88 f227 14fp 1d61 7555 baab 2251 4564 8776 aadd egbo,
421044,8,401615,407387,2017-12-28 07:12:05,ddca 8566 ff27 4f4f 8648 17h5 feee f527 36i7 4844 bagg bgge,
421045,20,354539,236442,2017-12-28 07:13:10,9aa9 87j5 af22 bgbf 61d6 7755 7dbc 2441 7874 7688 aaf9 deac,
421046,4,413202,347235,2017-12-28 07:13:10,ddc9 6667 472f b4g4 64dd 3355 797d 771b 8684 6226 acan fegc,
421047,8,421028,380514,2017-12-28 07:13:10,aca9 875k fa24 af44 dd64 8857 edcf 216j 3676 6246 gggp dgce,
421048,10,420309,417527,2017-12-28 07:13:15,c99d 7667 a4a7 g4ap 1111 7875 79bf 2b71 68kk 7438 fmfa dfgd,
421049,4,409126,369637,2017-12-28 07:13:15,9acc 775k aa42 fff4 181d 3225 9bfb 65f5 6764 8888 9bbb eggg,
421050,4,413149,420901,2017-12-28 07:13:15,cdac 5786 7742 4aba d61d 8555 9fd9 5b6b 86kk 4676 gbba gdgf,
421051,23,406555,398056,2017-12-28 07:14:13,damm 5j76 442a 1bgm d144 5k55 fdfd 1452 5787 7828 pabg acbo,
421053,4,419025,419040,2017-12-28 07:14:20,ccac 5766 7742 9aaa 1d11 1121 9fdf 7b61 7383 4888 abga gdgg,
421054,15,208415,418043,2017-12-28 07:14:39,cdca 5688 247f abfa 8d11 8583 7b7f b45j ki4i 4236 badn aaoo,
421055,5,117138,112303,2017-12-28 07:15:04,ddad 5787 4f7a bbba 1414 7755 dfb9 bbb4 5888 3686 a9ff dedo,
421056,15,107281,411259,2017-12-28 07:15:08,dm9a 586j ffa7 a9bp 6641 385k eff9 6227 84k8 3766 g9gc bcea,
421057,7,418105,264658,2017-12-28 07:15:08,9caa 7655 a7aa bb1a 1448 2727 bfee 2114 467i 6628 gfda fagc,
421058,8,419098,419416,2017-12-28 07:15:21,9ddd 8758 77f2 149f 1d41 7172 aa7c 6152 k46j 4642 ambn fdeb,
421059,12,206177,397282,2017-12-28 07:15:52,cacc 757j 4a27 ba1b d661 8775 aaee 271b 6767 6772 ggfc fada,
421060,8,390921,414585,2017-12-28 07:15:52,9acd j558 22f2 ba1a d864 173h 97sd 455j 4877 3242 bfcc dddg,
421061,1,416421,416163,2017-12-28 07:15:52,d99c 7868 7444 44af 44d6 8712 d9db fb51 3368 6784 ddga bdgg,
421062,7,418875,396529,2017-12-28 07:15:52,dddd 8886 7f42 4ff1 d8dd 3515 af97 1151 576i 2436 gdab gggg,
421063,4,420980,358121,2017-12-28 07:15:52,dacd 568k f7f4 9faf 1884 27k5 eca9 5b17 6774 6364 adbg geed,
421064,2,416843,418599,2017-12-28 07:15:52,d99c 7778 27af aaab 1dd4 8527 9ddb fb26 373k 6738 ggag gdee,
421065,16,419701,414746,2017-12-28 07:15:52,9amc 5657 4afa gf4b 16d1 837k bdaf 5225 8757 4876 acdf efdd,
421066,5,420294,386637,2017-12-28 07:15:52,acda 8556 7227 bbf1 4168 273k feb7 5641 7835 3823 9agb geae,
421067,7,419786,281044,2017-12-28 07:16:55,dac9 5577 424a b1ab 118d 8523 c7fb b112 7738 8426 gagn gfae,
421068,7,420677,420745,2017-12-28 07:17:51,999a 8586 7fa2 b4g4 6d4d 1728 dcfe 1524 3864 6667 ggbp fgdd,
421069,1,418377,398175,2017-12-28 07:17:51,ddac 6888 2a24 a944 8ddd 1255 ebb9 1f52 5836 3382 baab ggee,
421070,3,421012,386566,2017-12-28 07:17:51,dadc 8567 fa72 gbbb 1818 2757 ff9f 7261 6684 6832 fafb bago,
421071,4,419042,393252,2017-12-28 07:17:51,9cad 6787 faf4 b914 d116 3358 d7e7 64b6 4877 3838 dg9b abgb,
421072,7,420243,401363,2017-12-28 07:18:11,caad 8775 aaa4 4baf 8dd1 8578 97fe 52hb 3738 334i 9aaf ddgt,
421073,8,407511,369563,2017-12-28 07:18:11,adac 8667 2f24 agaf 814d 7255 ecce b762 674i 26i6 ggas eggo,
421074,19,318930,416107,2017-12-28 07:19:33,adcm 5778 4fa2 4fp9 6186 7727 999o 477b 8884 7262 abcg edoc,
421075,10,73637,150401,2017-12-28 07:19:33,d9aa 5555 72f7 1fa9 6161 7555 do77 72hb 7766 4246 9dfa edcf,
421076,7,420453,395908,2017-12-28 07:19:33,cdda 85k6 a422 bbfg d481 1228 c9ba 6511 638i 6824 gada deft,
421077,8,414844,412152,2017-12-28 07:19:33,dadm 858k af2f 414b 46dd 5525 ed79 f754 783r 8833 9bdb ggeb,
421078,18,401070,287940,2017-12-28 07:19:39,aacd 6886 74a7 gpg9 4141 5578 fcdb 2164 874k 6864 fddp dbda,
421079,19,402577,110842,2017-12-28 07:19:39,9amd 7557 f4a4 gggb 644d 5173 fad9 4117 76rk 4i64 gdad ceep,
421080,2,406886,223704,2017-12-28 07:19:39,99dc 6555 a4ff 1g4f 14d6 7835 79d9 456b 8464 232i 9fad fceo,
421081,3,419128,75072,2017-12-28 07:20:08,9dac 8888 f7af g4ga 8486 3327 b7f9 75b4 567k 4788 9aaf egca,
421082,4,391448,373095,2017-12-28 07:20:57,cdad 6777 fa27 f9f1 88d1 7512 df97 5156 3483 3246 abbb gggg,
421083,14,420531,407990,2017-12-28 07:20:57,aada 8kk5 a2aa 9f4m d14d 7758 ccee 26hh 5684 3646 ffff eafa,
421084,10,415326,415692,2017-12-28 07:21:16,acmc 7768 22f7 4114 ddd4 3555 7bed 4771 5867 8827 9bgd eebg,
421085,5,420082,418628,2017-12-28 07:21:21,da9d 6756 aa47 fb11 dd11 1817 bcco 5f46 7846 6722 afaa cdpo,
421086,4,420220,417875,2017-12-28 07:22:38,ccc9 7657 aa42 gbga d4d8 7782 9cef 7661 874k 4727 ada9 bgot,
421087,1,2146,305289,2017-12-28 07:24:07,ccca 5657 7224 94aa 4616 5155 fb9d 762b 7478 7863 fffa gdef,
421088,10,420914,420021,2017-12-28 07:24:07,9add 8677 722a f1b9 88d8 3725 befo f716 4868 2342 dggn geea,
421089,6,370673,358477,2017-12-28 07:24:07,d9aa 6677 f72f 94ff 61d8 2818 fbfa 16h6 4478 2i64 cdbs egcp,
421090,1,402613,396146,2017-12-28 07:24:07,a999 5785 4f24 44fa d1d6 8352 7f7f b5b1 3687 4643 gbag dgdd,
421091,8,419778,392033,2017-12-28 07:24:07,ccmd 8556 a4f7 fbfa 6446 7757 9dcd 1265 68r7 8844 gfad fegc,
421092,10,317655,268738,2017-12-28 07:24:26,99d9 788j 2f27 g914 6144 3887 af9o 247j 8474 23i7 gfpd cead,
421093,4,388381,392514,2017-12-28 07:24:34,9cad 5765 ff4a 44gf d8d8 1775 a9ba 5555 4874 4226 gfgf gcgg,
421094,7,415112,406403,2017-12-28 07:24:54,cd99 7775 a272 faab 14dd 1755 bd7d 7547 6764 3886 gfa9 aebg,
421095,2,407347,413781,2017-12-28 07:24:58,dcdc 8567 2f4f 14fb 86d8 8125 bec7 76b5 3877 6634 bdd9 gdeb,
421096,9,420887,403092,2017-12-28 07:24:58,9ddc 7855 f777 gbga 4181 7715 ffbe 771h 8775 4768 bb9a gefo,
421097,12,420950,420734,2017-12-28 07:24:58,9ccd 6578 4fa7 a9ba d166 121k bdeb f4f6 7377 6787 fcgf gaae,
421098,7,186476,315799,2017-12-28 07:25:03,a9ad 7656 f7a2 99fb 4116 7375 ac79 6212 8878 3263 fdgd aafe,
421099,1,417472,417563,2017-12-28 07:25:14,ddcc 8776 2f77 bafb 183d 2555 9f97 5565 5687 6347 aadb gegg,
421100,2,322083,403328,2017-12-28 07:25:37,a9ac 5766 2772 1aba d441 7555 9fc9 1b57 4877 7833 gada fggg,
421101,4,381225,417554,2017-12-28 07:25:37,dacd 5865 42f7 b194 6d6d 8578 e9ca 1521 4484 3278 a9gg dbdg,
421102,3,411685,287384,2017-12-28 07:25:37,9ad9 658k a242 19bb 6dd4 3572 ee9f 574b 3467 4838 aagd bgdg,
421103,19,415334,398360,2017-12-28 07:25:59,a9cc 885j faaa 4aab 6661 1535 779d 455j 4886 728k gfdg ddte,
421104,12,419161,415045,2017-12-28 07:25:59,aadd 5765 f4f2 9aa1 d11d 1127 fbao 55fj 8478 7288 bb9d dotg,
421105,21,415718,415330,2017-12-28 07:26:10,a999 6j67 f772 ffga 1141 3535 e7fb 7bb2 6467 3478 daag edfd,
421106,16,420088,420075,2017-12-28 07:26:29,9c9a 687k a4af g4bb d868 8123 eeff 7215 7777 8783 abfm aadf,
421107,8,406856,411239,2017-12-28 07:26:29,dcda 5868 2faa gbbf 14d1 7755 99ed 4252 676k 2422 fmgn daec,
421108,5,419704,418509,2017-12-28 07:26:29,cdcm 6585 227f fgfa 4116 3871 aeeb 5f2f 6684 2236 dbc9 edge,
421109,13,412549,419772,2017-12-28 07:26:39,ccda 5775 f4a7 9b9p 86d1 7333 aecd 5446 5445 42k4 fgdf cedf,
421110,4,350519,348588,2017-12-28 07:27:26,99cd 8667 7442 4b4b 1114 7177 eccf 7762 8888 6234 adbb gadd,
421111,4,402940,383621,2017-12-28 07:27:38,acac 767k 7224 fbap 4461 8575 bdfd b764 7648 3646 dfda bcda,
421112,1,407730,386402,2017-12-28 07:27:38,99d9 6677 2faf 1af4 8d16 3782 7ff9 6716 6678 8666 gb9b bggd,
421113,1,416559,416648,2017-12-28 07:29:07,c9c9 2862 74a2 444a 8168 5272 fed9 f272 3377 3232 bbab bgee,
421115,24,322651,324875,2017-12-28 07:30:03,99mm 6877 22ff af9f 6146 5555 fff7 7742 7666 8448 aaga ecef,
421116,5,380382,274837,2017-12-28 07:30:03,dadc 65k5 4247 gfff 1681 5277 d9ff b277 775k 8336 afbf agdc,
421117,6,419117,418002,2017-12-28 07:31:00,aa9a 8565 74a7 bb1m 666d 7557 bcd7 1516 4476 3468 gdbc ggdo,
421118,5,396907,407676,2017-12-28 07:31:00,9a9a 6766 7427 1a44 dd68 1122 eefe 2ffb 7484 8487 bbbb gbdg,
421119,6,421031,417357,2017-12-28 07:31:00,c9dd 6678 f4aa 44ff dddd 7855 9d79 515b 7774 4427 dgbg edgf,
421120,7,408606,272596,2017-12-28 07:31:02,dd9d 8767 2a27 1afp 1d16 7727 c9bf 2615 6657 662k 9ad9 gbbd,
421121,18,420373,420368,2017-12-28 07:31:07,ddca 686j a427 a1b4 6866 88k3 becd 62b2 6r68 8886 gfgd eefg,
421122,8,420675,367491,2017-12-28 07:31:10,9ccc 5877 a247 a4ba ddd6 22h7 b7df 6f75 64i6 3732 gana cggt,
421123,13,228075,401684,2017-12-28 07:31:26,9ccc 8757 4a27 1fb9 6446 3835 e7db b217 84k4 2736 fgac ddge,
421124,4,411725,420894,2017-12-28 07:31:35,ca9c 8865 7442 4bf9 4d1d 1117 9edf 6254 76k6 4332 b9af gddg,
421125,11,312710,215170,2017-12-28 07:32:18,9dcm j858 24fa aa49 46d1 5578 ec9c j472 575k 4237 adgd daae,
421126,11,399794,410309,2017-12-28 07:32:18,cda9 7557 7af7 aaab 1114 7k57 fbfa 5467 6877 3266 fb99 adgg,
421127,8,410812,419401,2017-12-28 07:32:18,c9ad 676j a724 abbb 1881 855h eefb 5451 8764 4223 gdag ddgg,
421128,8,421072,397325,2017-12-28 07:32:18,9add 8677 aa44 b4aa 8d18 5817 c7bf 52hb 3676 38i6 9baf ddgo,
421129,6,419432,420773,2017-12-28 07:32:18,c9ad 5875 a7a2 a4fp 1d44 3811 b977 1621 5846 4324 cdab ggfg,
