id,gen,matron_id,sire_id,birthdate,genes,name
484000,7,425936,483937,2018-01-27 04:35:36,adda 8786 42f2 19ag 1681 588h ddee 6466 7j87 3383 dgfn gfcc,
484001,10,483909,468620,2018-01-27 04:36:15,aad9 6665 74a4 fab4 d688 81q1 9bd7 55ff 873k 2478 gdbm d2dd,
484002,6,483893,483233,2018-01-27 04:37:50,cad9 8522 faff 24g4 71dk 2282 57ee 8gg8 de22 7161 446b e222,
484003,2,348851,478688,2018-01-27 04:39:48,9adc 5856 4af7 4a1a 8188 7821 b97b 11b6 4387 2743 baba ggdg,
484004,11,481772,483858,2018-01-27 04:39:48,99ac 7k7r 4242 bamg dd6d ff8f 9b5d b6p5 g786 9186 fdgb 2eeg,
484005,2,483945,462852,2018-01-27 04:40:18,9daa 2526 6777 aaf4 3688 f45f 5557 bb6j e82d 1811 dba8 de22,
484006,4,483066,472584,2018-01-27 04:42:53,dc9c 8655 44f2 f1ff 1688 5f55 cane 5627 g8g5 4398 a9b6 gd22,
484007,5,469952,475626,2018-01-27 04:44:11,cc9a 6767 264f 4cac 6d66 2d48 9bbe 86gb d666 6687 g688 dg2g,
484008,5,182983,54978,2018-01-27 04:44:31,9ccm 576k 2444 fbba 6411 7555 f7dd 2662 8786 8787 ggga dcda,
484009,4,481070,381622,2018-01-27 04:44:42,aacm 5787 4a77 fbfa 3414 d22f c9co 1665 67g7 496i bgcn eg2g,
484010,0,,,2018-01-27 04:44:42,cc9a 2565 4f4f c94f 3d66 bdbf 5659 8g5g egdd 1431 6448 gdgg,
484011,2,482360,476047,2018-01-27 04:46:33,cdd9 6268 7a4a fcfc 6831 f4ff 6e96 6g81 2ge2 6719 ddb8 22gd,
484012,4,302435,114015,2018-01-27 04:46:33,daaa 6655 f224 fgfb 616d 5578 eddf 4b15 458k 3642 gggg afaf,
484013,3,484005,478693,2018-01-27 04:47:52,9aaa 588j 6477 aab4 d868 f8f7 95f7 bbj6 886d 7111 ddb8 deeg,
484014,3,483851,482707,2018-01-27 04:48:00,9ddc 755k 622f f1c4 d1d8 fb28 6e56 8157 g2eg 4968 6b68 22ee,
484015,5,483647,468903,2018-01-27 04:48:11,d9cc 788j ff47 f44b 3486 7175 e97f 5bkf 4678 7738 9bdb aggg,
484016,3,481224,449293,2018-01-27 04:48:25,ca9m 6658 4a4a 9ag1 6d38 4f48 b97d 5fb2 677r 786h gdbb g22g,
484017,2,483111,483102,2018-01-27 04:48:45,aadd 7626 a7ff c1fg d1d1 8484 79de 5g85 d288 9769 44b8 2ed2,
484018,2,483629,483104,2018-01-27 04:48:45,9aac 2876 a67a acag 37dd 8fbb 5ce5 8g58 e2d8 9794 686b g2dg,
484019,5,481605,479197,2018-01-27 04:49:02,d9d9 822k 424a 44m4 86dd 284f d5db bg6p gd45 9986 fgdf egeb,
484020,4,483691,483920,2018-01-27 04:49:16,dad9 6656 f62f 4gbn 81dd 822d ac9c 1671 g88k 4838 bdbd dg2b,
484021,8,483999,482195,2018-01-27 04:49:28,9dd9 6885 7247 fafb d343 273q 79d9 11ff 863d 7624 9aab c22e,
484022,2,483945,462852,2018-01-27 04:54:14,aa9a 7825 67f4 aa4f 1368 f414 559c bfgj 2282 1711 dab8 dege,
484023,2,476823,473648,2018-01-27 04:56:09,c99d 8222 277a 1ca9 3318 12d4 b59d bg1b 2ddd 1441 9888 e2dg,
484024,6,483068,483938,2018-01-27 04:59:16,9adc 6776 227a 94ag d1d1 2785 f6ee 67bb g22d 3724 b449 dde2,
484026,1,481487,481233,2018-01-27 05:01:47,dca9 7878 77f4 fccc 3136 484d 67d9 5656 8588 8991 6688 ddd2,
484027,5,482988,483771,2018-01-27 05:05:15,c9ad 8252 22f4 gaa4 3dk3 fd2b 95bb 665g 4e2e 6111 6684 e222,
484028,15,483686,483149,2018-01-27 05:05:15,9cca 2767 f27f 1f9a 3866 2d54 57dd 17g8 88eg 7419 9666 2eg2,
484029,2,463117,191067,2018-01-27 05:05:25,dca9 875j 4747 fgaf 6d86 8747 b9f7 2554 4466 8764 ccg8 f2g2,
484030,4,484016,480588,2018-01-27 05:07:37,a99m 8568 744f g4c2 8368 4f48 efd7 5b52 d56r 74ih ggbb g22g,
484031,7,483671,407911,2018-01-27 05:07:37,ac9c 6826 24fa ffgg 4184 1751 7edo b2jk 4464 3662 gag9 gggg,
