id,gen,matron_id,sire_id,birthdate,genes,name
442000,9,373134,436714,2018-01-01 19:58:13,ddad 6866 f2a7 4ffp 6436 1577 bfaa 574j 8688 6368 9dba edeg,
442001,2,434518,434524,2018-01-01 19:59:39,9ccc 8852 f7fa f4a1 1d88 5127 9dac f7b2 3688 864i abdb aggg,
442002,9,436542,441504,2018-01-01 19:59:39,a9dm 8j68 f7f2 g4af 1dd8 5815 sc9s 271f 673i 3236 gbaa cedp,
442003,2,436333,440763,2018-01-01 19:59:56,cc99 7272 a7a7 9ba4 311d 1255 aefd 7621 3888 8822 bgag gfgg,
442004,3,436104,436207,2018-01-01 19:59:59,dacd 7877 7a47 4g4a 4616 8722 fbdc 1564 8747 2233 agdb eegg,
442005,3,440325,435190,2018-01-01 19:59:59,daad 6868 7772 4b4a dd68 5152 bcb9 b626 4877 7846 abfb cdeg,
442006,4,383945,385454,2018-01-01 20:01:04,aacc 7675 fa44 9afp d8dd 2315 f7de 1775 3474 8348 gfgf bead,
442007,11,425351,398307,2018-01-01 20:01:31,9c9d 6555 4a2a 91b9 848i 7352 9d9f 2526 6867 828i bdb9 dgee,
442008,12,440522,441879,2018-01-01 20:01:38,999c 6666 7a72 b444 68d4 7133 ebfe fbf5 3773 7623 dbsg aceg,
442009,7,441354,439651,2018-01-01 20:01:38,9dda 5285 a777 9baa dd6d 8577 aadf 6455 4648 8336 aggb geba,
442010,8,427676,324715,2018-01-01 20:02:01,9caa 5576 22af 1b9g 414d 3787 79bf 2h24 8786 7634 ffgg dfee,
442011,2,434082,434077,2018-01-01 20:02:01,9ddd 576j 7f2a a441 8484 1552 adbc 6116 6847 6343 bbgb aede,
442012,10,434289,440638,2018-01-01 20:02:31,cdc9 6j87 fa74 44ab 3441 5557 f7e7 f1b7 536k 4343 bgad adce,
442013,12,438731,441918,2018-01-01 20:02:31,c9am 6675 fa72 b9bg 4466 5527 9dff bj21 8674 2332 ddga fefa,
442014,2,438739,440573,2018-01-01 20:02:31,accd 8526 74a7 f44b 13d8 5522 f7ef bb25 8347 7326 ggbd ggge,
442015,7,438291,439372,2018-01-01 20:02:39,ddcc 6878 2744 b1gb 4846 3425 9bdc 717b 73k4 6366 9bgb egoo,
