id,gen,matron_id,sire_id,birthdate,genes,name
602000,1,524120,504242,2018-03-09 22:40:36,gdda 8258 a7ff aaf3 111d f2f2 5757 5gbg e6gd 4a99 6222 162g,
602001,17,571006,568771,2018-03-09 22:41:03,aad9 85k8 777f afaa 4161 7777 ee7e b555 iiii 3668 d9dd gbbb,
602002,1,600793,411621,2018-03-09 22:41:03,cdad a872 fa2a 433a d661 1e2b ceb7 b5bb 83ef 4ag1 49ba dd8g,
602003,1,487789,580361,2018-03-09 22:41:15,aad9 7652 642f ccgc 766d fbdb 5663 96b1 3228 1998 46g8 2212,
602004,1,340201,2479,2018-03-09 22:41:53,999a 6685 77ff 9agf 66d4 2175 ce9f b757 4648 2744 aggg gfgc,
602005,8,598920,598198,2018-03-09 22:41:53,cdcc 8625 22af g191 7ddd b4dd cfc9 5529 d746 9a89 d699 1e1g,
602006,6,599518,600688,2018-03-09 22:41:53,999a 7868 77fa 4a44 664d 2383 7e9c 1245 e47e 9374 a99d gcbc,
602007,8,575840,492547,2018-03-09 22:41:53,9cda 6828 4f2a f1af 1688 b58b 333e 4111 28gg 9c36 fg66 44bg,
602008,5,595336,593941,2018-03-09 22:44:04,9caa 7227 6427 2a49 d31d 25df 5cfc g11h 7552 9793 8498 ea24,
602009,1,374289,2709,2018-03-09 22:44:26,ad9c 767k 72f4 ffgf 8114 2572 eb7d 5264 7684 4432 gaba dfdf,
602011,1,600793,508904,2018-03-09 22:44:49,dcdc 2872 f627 a133 6631 1bf2 cbd9 9gbg 88e8 ac81 9bb2 6686,
602012,10,598362,597572,2018-03-09 22:45:52,cadc 88k7 ff72 3iaa dd46 727h 7d97 b7b5 6444 768i 9dda gtgt,
602013,8,600426,596176,2018-03-09 22:45:52,adcd 8822 44f7 2ca3 d631 2822 3599 gg88 gdo6 9786 4882 1444,
602014,8,596837,593432,2018-03-09 22:46:08,99dd 765k 2a22 fgia 11d6 5877 7sds 2112 8447 78i2 9gfa fcat,
602015,6,598272,601979,2018-03-09 22:46:08,gdmc 5677 4442 24bi 861d 1257 b7ss 5g7j 6e84 7311 f8dg dedg,
602016,2,570682,470469,2018-03-09 22:47:12,9agc 5a82 6247 a49a d4d6 2777 37ef 1fg1 5886 1c49 28b9 g6o6,
602017,8,600673,598962,2018-03-09 22:47:12,d9aa 7882 24a7 cc19 73d6 e4dd 9999 g595 58d3 44c7 a699 266d,
602018,3,518559,326619,2018-03-09 22:47:36,dacc 7776 aa2a a19b 1681 5752 7ffd 67b1 47g6 7784 444s dade,
602019,2,588966,535984,2018-03-09 22:47:36,cgdc 6828 272a c31g d3d6 bf4d e3e5 gg99 d26e cc4c 2248 gg64,
602020,1,597784,581510,2018-03-09 22:47:36,gdad 7665 4f7f cg3g ddd1 efed 63e3 5bb6 ffef 7ac7 442g 4144,
602021,5,589537,589709,2018-03-09 22:48:09,ccac 5a7k f727 44i3 3886 ddb2 669e f5g7 d57k 3486 b2jj 212g,
602022,8,601256,600640,2018-03-09 22:48:20,add9 7257 227a cgam 166d 2444 de5d 8hb7 6b6g 3389 2b59 1a22,
602023,1,601329,600372,2018-03-09 22:48:37,dcac 2856 a4aa 333g a6dd f4ff 6433 bbgg 3f6f 7c1g 82bg 8664,
602024,2,593211,602002,2018-03-09 22:50:16,cddd 272a f2f2 433a 6661 dbbb ece7 b5bb 83ep 4g14 46bd ee8e,
602025,4,505931,600164,2018-03-09 22:50:26,a9dc a822 6427 fac4 6d1d 742k 779e 5g6b eede 4927 8dd5 1e2g,
602026,8,599685,450942,2018-03-09 22:50:26,acdd 8867 742f 1fmg 1116 7d75 bc99 61g9 22e4 3717 gg99 e2ge,
602027,2,597865,589561,2018-03-09 22:50:33,dacd 6525 2f77 fac3 61d1 ebfd 339c 9656 fgdb 17a4 b425 8262,
602028,5,601472,600603,2018-03-09 22:50:48,dcc9 7662 72f7 af44 14d6 7f77 edei f5bb 787e ac39 aaff 1acg,
602029,13,582509,412952,2018-03-09 22:51:19,cc9d 8888 2aaf afbg 3388 545d be9b 426h 6287 331h gafa gec1,
602030,1,600201,599831,2018-03-09 22:51:19,gc99 8a67 7264 773c 7611 4b41 c4b7 gg1b fbgf aaag 2522 66g6,
602031,5,601650,596183,2018-03-09 22:51:25,99gd 6256 fff2 bf14 d6dd 712d bd77 562b 77de 6949 ba49 222g,
