id,gen,matron_id,sire_id,birthdate,genes,name
197000,7,183069,163509,2017-12-10 00:16:40,dcac 6555 fa42 9gp9 6161 8535 fac7 421b 787k 2232 dfad efda,
197001,7,141122,104305,2017-12-10 00:16:40,caad 6857 a4a4 ffgb 4116 577k 9bcb 1b24 8667 8688 ffa9 abaf,
197002,3,194676,191378,2017-12-10 00:16:40,9a9d 6686 74a7 afag d414 8575 deee b5jb 5747 7284 gfdf ecdc,
197003,3,195547,194067,2017-12-10 00:16:40,9acd 6858 47af gaaf d166 8875 f7be 64j2 6848 4838 dfda facf,
197004,17,110681,109024,2017-12-10 00:18:02,ccd9 676j 2a2a bpfa 6414 5755 d9ef bb72 787k 6638 9agg ffof,
197005,5,171185,160514,2017-12-10 00:18:02,d9c9 6656 f27a g1bf 1411 8775 bf7f 7416 7667 2327 agfg edfa,
197006,4,175243,185448,2017-12-10 00:18:02,cada 6588 74af ffbb 4414 7777 9b9d 24b7 4786 44k3 dafg bacf,
197007,1,177879,178960,2017-12-10 00:18:02,dc99 6857 a224 44aa dd6d 5387 fac9 5514 4747 3668 9dgf edff,
197008,17,175612,184240,2017-12-10 00:18:02,9dad 5888 4744 aag9 1464 7877 cffe 2744 6677 8kk6 gfaa cebf,
197009,12,138895,191385,2017-12-10 00:18:02,a9cm 5578 a2aa 9gpp 6664 5377 den9 7727 8578 4373 dpdf cdae,
197010,12,5993,8058,2017-12-10 00:18:02,c99a 8856 7fa7 agff 4466 7555 eff9 4hhb 6k57 3433 f9aa eedo,
197011,5,194409,194766,2017-12-10 00:18:02,c999 5866 7272 a9f9 1164 7587 d979 7616 8674 8328 a9ga eade,
197012,6,194544,195524,2017-12-10 00:18:02,9cdd 5888 7777 aaag 6644 5387 7cd7 44h2 756k 2743 afg9 fefa,
197013,5,108750,193885,2017-12-10 00:18:02,aa9c 6886 22a7 fffa 6116 5553 fdfn 1647 76k8 7326 9f9m cddd,
197014,17,86553,110030,2017-12-10 00:18:10,c99d 8667 72f4 9aa9 1464 5778 ebff 47bb 78k7 3788 gfap fdfa,
197015,14,56284,176014,2017-12-10 00:18:10,acaa 5767 4a4f aabg 4444 5575 99eb 1446 8767 8664 gapa faeo,
197016,7,173516,194133,2017-12-10 00:18:10,addd 5587 ff4a gbbb 1414 8787 7dee b677 8577 2222 fffg fade,
197017,4,195108,169084,2017-12-10 00:18:10,ccaa 8867 f477 fgab 1666 77k5 7979 6674 6774 7347 9dag edea,
197018,7,187762,193764,2017-12-10 00:18:10,addc 7756 2fa4 1bpf 6461 7777 adcf 1711 6668 4886 dggd fcdb,
197019,6,113029,82604,2017-12-10 00:18:10,cddd 8657 f2ff bbab 1164 3355 7ffn 6676 787k 4866 dd9g cefc,
197020,5,196477,161908,2017-12-10 00:18:10,9dda 5787 f744 f1bb 4666 7857 e7cf 172b 8678 3778 9faf cedc,
197021,8,195549,188269,2017-12-10 00:18:43,cd9c 7886 ff2f 11f9 1461 5558 afdf 1647 8785 6644 adfg ffaf,
197022,8,175132,191437,2017-12-10 00:18:43,cdd9 7886 7477 gfa1 1614 8557 ccd7 767j 8756 3222 cadg dead,
197023,11,140267,160934,2017-12-10 00:18:43,cacc 7778 ff74 gg1a 6111 8555 dcdf bb6b 6687 8884 fgfd fefc,
197024,10,173132,171447,2017-12-10 00:18:43,aa9c 7777 47f7 bgag 1161 77k7 eee9 6166 568k 3737 99gf edcc,
197025,10,173992,186200,2017-12-10 00:18:43,d9dd 555k 24ff bf91 4614 385k cfda bb17 8886 6222 gfda dede,
197026,5,179989,154317,2017-12-10 00:18:43,a9dm 878k a422 1afb 6616 85k8 ad77 7447 7867 8832 gadf cfbb,
197027,10,195895,195556,2017-12-10 00:18:43,acam 6j86 244f fg4g 6444 8878 ce7f 2h41 688r 6672 agfc deeo,
197028,3,196286,193045,2017-12-10 00:18:43,d9d9 586k 2244 49a1 4641 8355 9c99 7b61 8478 3264 gfdg cebc,
197029,18,11407,29809,2017-12-10 00:18:43,ccaa 6k77 ff7f 99ap 1616 7777 o77o 2717 5757 4667 9aaa dedc,
197030,22,64970,140033,2017-12-10 00:18:43,dam9 7785 2a24 ffam 1664 7555 d79f b2bb 6686 4633 gggg ffde,
197031,5,196062,188103,2017-12-10 00:18:58,dcda 666j 7a77 fabf 6111 7875 ddd9 b274 8886 6382 ag9g dedc,
197032,8,112272,151896,2017-12-10 00:18:58,a9cd 6765 4422 babb 6641 5555 cd7b 46b7 688k 6674 fddd efco,
197033,10,190427,136431,2017-12-10 00:18:58,cc9a 7k5j 4f42 999g 4446 7577 fdee 1b1b 8778 8686 fgfg efca,
197034,7,196559,123813,2017-12-10 00:19:03,aacm 7678 2ff2 g1af 1461 8557 d9eb 2241 766k 6437 gagd bcfd,
197035,10,65111,57653,2017-12-10 00:19:03,dcda 6855 ff74 fbpb 1666 5777 cde9 2b14 857k 6874 adga eeaa,
197036,10,195279,193032,2017-12-10 00:19:03,ac99 7j87 f447 ggaf 4116 7575 7d7d 17h6 j7jr 7483 ggfc ddfc,
197037,14,148652,194835,2017-12-10 00:19:03,ada9 7877 47f2 fa9a 6611 5777 9ef7 4bb1 7678 6688 9ddp bddf,
197038,8,196193,196275,2017-12-10 00:19:22,aama 6766 7aa2 aag4 4111 5355 affm 112j 7877 2783 gaaa ddcc,
197039,7,182331,196060,2017-12-10 00:19:22,a99c 757j 2274 agag 1461 855k fb9c 771b 8688 4687 ggap aacb,
197040,6,171973,174901,2017-12-10 00:19:22,dca9 8588 f2a7 gbgb 4411 8885 c7bc 2774 8887 8283 d9da adfa,
197041,9,177988,196068,2017-12-10 00:19:22,d9aa 5867 7f7a bgaf 6141 3735 7797 76b4 7468 3864 gfaa cfac,
197042,4,193946,194115,2017-12-10 00:19:22,c99a 8887 2f4f 9gaf 1d14 7885 9bbb 1771 6884 7683 aa9a edaa,
197043,7,196537,194542,2017-12-10 00:19:22,dda9 7768 a2a7 1g1f d464 778k 9997 7464 6666 3844 dgfm dadc,
197044,7,195648,196064,2017-12-10 00:19:22,c999 8777 7244 ff9b 6666 5757 ffe7 4246 4677 4487 gafa cddd,
197045,19,69723,93841,2017-12-10 00:19:22,cdc9 57j7 4a77 fafg 1111 77k5 7foc 424b 6768 4333 pa9f dfdf,
197046,7,165803,144704,2017-12-10 00:19:33,a99a 86k5 2f47 1gbg 1161 5575 9fde 6217 7764 4344 cdg9 addc,
197047,6,42905,113901,2017-12-10 00:19:45,99cc 6875 7477 b9ag 6664 755k cbc9 1bbb 778k 6686 afaa feca,
197048,4,46378,110977,2017-12-10 00:19:45,9add 5875 2afa gfgp 1661 5385 79cc b7b4 675k 3438 9dfg fedc,
197049,5,99231,166896,2017-12-10 00:19:45,dd9a 8588 f2af agfa 1614 553k 9bee 46b6 8888 4468 f9gp ffdo,
197050,3,145565,160886,2017-12-10 00:19:45,aaa9 8665 7aaf 99ag 4116 7775 fd79 1427 7677 7487 agga ccff,
197051,4,166390,81457,2017-12-10 00:19:45,cadd 6577 2af2 ggbf 4646 7855 d7df 1177 4665 3848 g9da fada,
197052,20,185738,89570,2017-12-10 00:19:45,9a9a 786r afff fagg 4641 7757 e7c7 42b1 68k8 3377 aaa9 fcoc,
197053,6,196104,196449,2017-12-10 00:20:00,cdad 5666 4272 a4f4 4441 5757 7ffb b7b5 7884 7482 faga cacd,
197054,7,195622,187429,2017-12-10 00:20:00,99c9 6j68 a2fa 4a9b d141 8558 eaed bb7j 8574 722k gfff faff,
197055,4,196656,196560,2017-12-10 00:20:00,9999 6677 af24 g1ff 6164 8757 de9e 4242 768k 3668 fafp daff,
197056,6,193911,184770,2017-12-10 00:20:00,daad 7577 47a7 44gg 6161 78k7 9f9m 77h1 5744 4672 gfgp eeec,
197057,7,181551,153760,2017-12-10 00:20:00,caaa 666k affa faag 1616 5758 d799 b46h 5787 3686 aada dfdd,
197058,3,183911,156644,2017-12-10 00:20:00,d9c9 5558 f727 b9ga 1661 7877 eb97 4646 8474 8283 9faf cdfo,
197059,21,11196,34311,2017-12-10 00:20:00,aaca 8755 ffa7 fgff 4464 5855 f9d9 67bh 5777 4374 9fag eeoo,
197060,3,195709,183706,2017-12-10 00:20:19,ddca 8756 472a 4aba 664d 853k bcef 175b 6786 7843 gdaf cfca,
197061,3,196509,172404,2017-12-10 00:20:19,acad 776j aa47 b49a 4141 3585 d79d 7224 4848 4322 dggg bcdf,
197062,11,172556,184276,2017-12-10 00:20:19,aaaa 7685 2afa gafa 6664 5577 7c79 772b 7768 2768 9fgp adda,
