id,gen,matron_id,sire_id,birthdate,genes,name
170000,21,86458,68156,2017-12-09 02:46:39,99c9 55j8 fa27 fgba 6616 5575 9eff 776b 86kj 7686 admg afdo,
170001,3,110061,157205,2017-12-09 02:46:50,99d9 8857 f444 a99a 6441 8857 eeef 664b 5878 8468 aaag faad,
170002,13,110602,98472,2017-12-09 02:46:57,cada 5567 4a7a baga 6441 5758 7cbc 4216 5868 8476 gffm dcdf,
170003,4,166295,166731,2017-12-09 02:46:57,9ca9 8777 272f 9gfg 6661 7888 de99 7b11 8786 3734 ddfg ddcd,
170004,9,135883,167268,2017-12-09 02:46:57,d9cd 66jj 77aa fgff 6411 8555 dddo b171 5888 74i3 d99f fdca,
170005,6,103820,137131,2017-12-09 02:46:57,dccm 5875 7ff2 ffba 4164 8835 dfae 2144 8676 7668 afaf eede,
170006,8,166986,135322,2017-12-09 02:46:57,a9dd 555j afff fafg 1141 8575 cb77 b77b 547k 8637 faaf eacc,
170007,18,117410,120537,2017-12-09 02:47:04,a9d9 6768 2aaa gfpa 1616 75k5 ccd9 bb2b 7677 6866 apga eded,
170008,4,146552,158298,2017-12-09 02:47:04,ccac 5575 4f7f 1gf1 6661 5785 e99f 7hb2 6444 7842 g9fg dfec,
170009,6,159600,143044,2017-12-09 02:47:04,cccc 587k 4f27 f1gb 6611 7838 799c 7b2b 6886 3444 fadd bcca,
170010,4,167963,168772,2017-12-09 02:47:04,acc9 5768 2a77 gbp9 6141 7575 ccfo 6421 8588 6388 9gfd fdfa,
170011,15,116266,113129,2017-12-09 02:47:04,9acd 7687 772a afbp 6164 5377 becc b427 5887 6483 f9gf cffe,
170012,9,168987,149379,2017-12-09 02:47:04,9adc 878j 747a b4aa 1661 5757 c97f h42j 8848 327i gafc edfa,
170013,6,169755,165105,2017-12-09 02:47:04,cddd 867j 272f ffbb 1466 8375 9dbb 2467 6866 3222 adff cace,
