id,gen,matron_id,sire_id,birthdate,genes,name
15000,9,4518,6002,2017-11-30 04:47:56,a9cc 6757 7fa4 fgaf 4661 5755 dfec 4774 86k8 6377 gaaa eccc,
15001,8,2547,6388,2017-11-30 04:47:56,9cac 6875 74a7 9aff 1666 7755 fce7 221b 568k 3664 f9fg dcfe,
15002,13,12084,12150,2017-11-30 04:47:56,99cc 8866 47a4 f9af 4616 7557 99ff bb77 878k 6636 gfg9 ecec,
15003,15,14201,14718,2017-11-30 04:47:56,c99a 5767 2a42 gaag 6441 5555 9eo7 77bh 6876 4346 afga eecf,
15004,16,13511,14144,2017-11-30 04:47:56,cc9c 755j a4a2 aaa9 6611 7775 e9ec 2217 7876 6734 fafg fdde,
15005,18,9882,12407,2017-11-30 04:48:09,99am 8677 4242 fggg 4416 7775 9de9 2b4h 7778 7673 9gag fded,
15006,15,10371,11357,2017-11-30 04:48:09,a9ca 7887 4a42 afff 4641 7757 eo9e 7271 666k 4333 gggg eccc,
15007,16,11850,10967,2017-11-30 04:48:09,a9cc 887j fa42 afgf 6666 7775 fc7f 2bb2 888k 6368 99ff occd,
15008,18,13252,13242,2017-11-30 04:48:31,c99c 6k67 2277 99f9 6144 7775 eddf 7b42 7887 3884 maga ffdf,
15009,8,14463,14360,2017-11-30 04:48:31,acaa 6586 a242 ggaa 6116 7575 9fde 4471 6676 8863 99g9 fddo,
15010,15,14797,14016,2017-11-30 04:48:31,9cac 7778 4724 ggaa 6116 5757 ddc9 1hb1 6677 3834 gfgp fcdf,
15011,17,9762,7992,2017-11-30 04:48:48,caac 667k 4aaa fggf 1141 7775 79ed b17b 6676 338i aagg fdcc,
15012,18,11277,11838,2017-11-30 04:48:48,ac9c 887j 7aa7 ag9a 1466 7757 7def 274b 7867 336i 9gaf eecc,
15013,15,8716,12060,2017-11-30 04:49:23,d9aa 8557 2272 gaaa 4114 7557 b9df bbbh 7888 6886 9fgg fefa,
15014,18,11761,13316,2017-11-30 04:49:23,d9ca 7786 ff7a gafm 6664 8788 ef7d 764b 756k 6374 agf9 fada,
